name_allsides,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as,name_mbfc,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc
abc news,https://www.allsides.com/news-source/abc-news-media-bias,left-center,17523.0,11118.0,1.57609282244866,agree,abc news,https://mediabiasfactcheck.com/abc-news/,left-center,high,united states,"17,070,597"
above the law,https://www.allsides.com/news-source/above-law-media-bias,left-center,8.0,5.0,1.5999999968,agree,above the law,https://mediabiasfactcheck.com/above-the-law/,left-center,high,united states,"807,265"
al jazeera,https://www.allsides.com/news-source/al-jazeera-media-bias,left-center,3986.0,6440.0,0.618944099377921,disagree,al jazeera,https://mediabiasfactcheck.com/al-jazeera/,left-center,mixed,qatar,"7,805,699"
alternet,https://www.allsides.com/news-source/alternet-media-bias,left,5137.0,1191.0,4.31318219979586,absolutely agree,alternet,https://mediabiasfactcheck.com/alternet/,left,mixed,united states,"3,358,583"
american greatness,https://www.allsides.com/news-source/american-greatness-media-bias,right,174.0,77.0,2.25974025944679,strongly agree,american greatness,https://mediabiasfactcheck.com/american-greatness/,right,mixed,united states,"243,236"
american spectator,https://www.allsides.com/news-source/american-spectator,right,8561.0,3280.0,2.6100609756018,strongly agree,american spectator,https://mediabiasfactcheck.com/american-spectator/,right,mixed,united states,"9,433,797"
american thinker,https://www.allsides.com/news-source/american-thinker,right,1515.0,853.0,1.77608440795104,agree,american thinker,https://mediabiasfactcheck.com/american-thinker/,questionable sources,low,united states,"2,786,512"
arkansas democrat-gazette,https://www.allsides.com/news-source/arkansas-democrat-gazette,left,894.0,696.0,1.28448275860223,somewhat agree,arkansas democrat-gazette,https://mediabiasfactcheck.com/arkansas-democrat-gazette/,right-center,high,united states,"1,518,710"
associated press,https://www.allsides.com/news-source/associated-press-media-bias,center,11050.0,7934.0,1.3927401058717,somewhat agree,associated press,https://mediabiasfactcheck.com/associated-press/,center,very high,united states,"5,778,215"
atlanta journal-constitution,https://www.allsides.com/news-source/atlanta-journal-constitution,left-center,850.0,770.0,1.10389610388177,somewhat agree,atlanta journal-constitution,https://mediabiasfactcheck.com/atlanta-journal-constitution/,left-center,high,united states,"6,171,691"
austin american-statesman,https://www.allsides.com/news-source/austin-american-statesman,left-center,739.0,586.0,1.26109215014913,somewhat agree,austin american-statesman,https://mediabiasfactcheck.com/austin-american-statesman/,left-center,high,united states,"2,303,784"
axios,https://www.allsides.com/news-source/axios,center,1650.0,1937.0,0.851832731022964,somewhat disagree,axios,https://mediabiasfactcheck.com/axios/,left-center,high,united states,"389,083"
bbc news,https://www.allsides.com/news-source/bbc-news-media-bias,center,14254.0,13565.0,1.05079248064795,somewhat agree,bbc news,https://mediabiasfactcheck.com/bbc/,left-center,high,united kingdom,"13,112,113"
bloomberg,https://www.allsides.com/news-source/bloomberg-media-bias,center,8002.0,11059.0,0.723573559995729,somewhat disagree,bloomberg,https://mediabiasfactcheck.com/bloomberg/,left-center,mixed,united states,"10,507,362"
boston herald,https://www.allsides.com/news-source/boston-herald-media-bias,right-center,360.0,318.0,1.13207547166251,somewhat agree,boston herald,https://mediabiasfactcheck.com/boston-herald/,right-center,high,united states,"502,831"
business insider,https://www.allsides.com/news-source/business-insider,center,2224.0,2813.0,0.790615001774651,somewhat disagree,business insider,https://mediabiasfactcheck.com/business-insider/,left-center,high,united states,"4,516,930"
c-span,https://www.allsides.com/news-source/c-span,center,2996.0,929.0,3.22497308930867,absolutely agree,c-span,https://mediabiasfactcheck.com/c-span/,center,very high,united states,"8,228,481"
calwatchdog,https://www.allsides.com/news-source/calwatchdog,center,516.0,544.0,0.94852941174727,somewhat disagree,calwatchdog,https://mediabiasfactcheck.com/calwatchdog-com/,left-center,high,united states,"125,982"
care2,https://www.allsides.com/news-source/care-2,left,567.0,608.0,0.9325657894583459,somewhat disagree,care2,https://mediabiasfactcheck.com/care2/,left,mixed,united states,"3,957,118"
cbs news,https://www.allsides.com/news-source/cbs-news-media-bias,left-center,8985.0,6723.0,1.33645693886459,somewhat agree,cbs news,https://mediabiasfactcheck.com/cbs-news/,left-center,high,united states,"6,068,779"
center for public integrity,https://www.allsides.com/news-source/center-public-integrity,left-center,653.0,733.0,0.890859481570384,somewhat disagree,center for public integrity,https://mediabiasfactcheck.com/center-for-public-integrity/,left-center,high,united states,"287,572"
check your fact,https://www.allsides.com/news-source/check-your-fact-media-bias,right-center,41.0,41.0,0.999999999756098,,check your fact,https://mediabiasfactcheck.com/check-your-fact/,right-center,high,united states,"8,964"
chicago sun-times,https://www.allsides.com/news-source/chicago-sun-times,left-center,734.0,722.0,1.01662049860088,somewhat agree,chicago sun-times,https://mediabiasfactcheck.com/chicago-sun-times/,left-center,high,united states,"1,735,078"
chicago tribune,https://www.allsides.com/news-source/chicago-tribune,center,1878.0,3353.0,0.560095436920489,disagree,chicago tribune,https://mediabiasfactcheck.com/chicago-tribune/,right-center,high,united states,"4,796,090"
christian science monitor,https://www.allsides.com/news-source/christian-science-monitor,center,10387.0,13414.0,0.774340241538114,somewhat disagree,christian science monitor,https://mediabiasfactcheck.com/christian-science-monitor/,center,high,united states,"2,602,907"
christianity today,https://www.allsides.com/news-source/christianity-today-media-bias,right-center,70.0,94.0,0.744680850984609,somewhat disagree,christianity today,https://mediabiasfactcheck.com/christianity-today/,right-center,high,united states,"719,707"
city journal,https://www.allsides.com/news-source/city-journal-media-bias,right,315.0,262.0,1.20229007628999,somewhat agree,city journal,https://mediabiasfactcheck.com/city-journal/,right,high,united states,"805,635"
cnbc,https://www.allsides.com/news-source/cnbc,center,1810.0,4403.0,0.411083352258889,strongly disagree,cnbc,https://mediabiasfactcheck.com/cnbc/,left-center,high,united states,"3,538,689"
cnet,https://www.allsides.com/news-source/cnet,center,253.0,202.0,1.25247524746275,somewhat agree,cnet,https://mediabiasfactcheck.com/cnet/,center,high,united states,"14,691,424"
columbia journalism review,https://www.allsides.com/news-source/columbia-journalism-review,center,167.0,298.0,0.560402684544953,disagree,columbia journalism review,https://mediabiasfactcheck.com/columbia-journalism-review/,left-center,high,united states,"633,985"
commentary magazine,https://www.allsides.com/news-source/commentary-magazine-media-bias,right,189.0,207.0,0.913043478216761,somewhat disagree,commentary magazine,https://mediabiasfactcheck.com/commentary-magazine/,right,mostly factual,united states,"694,732"
concord monitor,https://www.allsides.com/news-source/concord-monitor,center,15.0,19.0,0.789473683795014,somewhat disagree,concord monitor,https://mediabiasfactcheck.com/concord-monitor/,center,high,united states,"566,793"
conservative hq,https://www.allsides.com/news-source/conservative-hq,right,812.0,378.0,2.14814814809132,strongly agree,conservative hq,https://mediabiasfactcheck.com/conservative-hq/,right,mixed,united states,"171,696"
current affairs,https://www.allsides.com/news-source/current-affairs-media-bias,left,304.0,139.0,2.1870503595548896,strongly agree,current affairs,https://mediabiasfactcheck.com/current-affairs-magazine/,left,high,united states,"22,542"
daily beast,https://www.allsides.com/news-source/daily-beast-media-bias,left,9898.0,4699.0,2.10640561821216,strongly agree,daily beast,https://mediabiasfactcheck.com/daily-beast/,left,high,united states,"2,584,164"
daily mail,https://www.allsides.com/news-source/daily-mail,right,4046.0,2721.0,1.48695332597763,somewhat agree,daily mail,https://mediabiasfactcheck.com/daily-mail/,questionable sources,low,united kingdom,"6,293,579"
daily press,https://www.allsides.com/news-source/daily-press,right-center,350.0,439.0,0.797266514788217,somewhat disagree,daily press,https://mediabiasfactcheck.com/daily-press/,right-center,high,united states,"1,078,706"
defense one,https://www.allsides.com/news-source/defense-one-media-bias,center,230.0,216.0,1.0648148147655199,somewhat agree,defense one,https://mediabiasfactcheck.com/defense-one/,center,high,united states,"199,685"
democracy now,https://www.allsides.com/news-source/democracy-now,left,6920.0,2093.0,3.30625895841707,absolutely agree,democracy now,https://mediabiasfactcheck.com/democracy-now/,left,high,united states,"2,483,056"
des moines register,https://www.allsides.com/news-source/desmoines-register,center,90.0,105.0,0.857142857061225,somewhat disagree,des moines register,https://mediabiasfactcheck.com/the-des-moines-register/,center,high,united states,"1,259,246"
deseret news,https://www.allsides.com/news-source/deseret-news,right-center,1100.0,1745.0,0.630372492833064,disagree,deseret news,https://mediabiasfactcheck.com/deseret-news/,right-center,high,united states,"145,928"
