name_allsides,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as
abridge news,https://www.allsides.com/news-source/abridge-news-media-bias,allsides,159.0,98.0,1.62244897942628,agree
allsides,https://www.allsides.com/news-source/allsides-0,allsides,3534.0,1423.0,2.4834855937984304,strongly agree
allsidesmunity,https://www.allsides.com/news-source/allsides-community,allsides,2287.0,1373.0,1.66569555716194,agree
aquinas college saint,https://www.allsides.com/news-source/aquinas-college-saint,left,846.0,553.0,1.52983725132857,agree
barnstable patriot,https://www.allsides.com/news-source/barnstable-patriot,center,499.0,579.0,0.861830742644873,somewhat disagree
bearing drift,https://www.allsides.com/news-source/bearing-drift,right,595.0,519.0,1.14643545277174,somewhat agree
bet,https://www.allsides.com/news-source/bet-media-bias,left-center,70.0,84.0,0.833333333234127,somewhat disagree
better angels,https://www.allsides.com/news-source/better-angels-media-bias,allsides,62.0,55.0,1.12727272706777,somewhat agree
blue virginia,https://www.allsides.com/news-source/blue-virginia,left,705.0,521.0,1.35316698653833,somewhat agree
bowling green daily news,https://www.allsides.com/news-source/bowling-green-daily-news,left-center,557.0,611.0,0.911620294584098,somewhat disagree
bridgemi,https://www.allsides.com/news-source/bridgemicom-media-bias,center,52.0,47.0,1.106382978488,somewhat agree
calmatters,https://www.allsides.com/news-source/calmatters,center,642.0,518.0,1.23938223935831,somewhat agree
center - major media sources,https://www.allsides.com/news-source/center-major-media-sources,center,621.0,540.0,1.1499999999787,somewhat agree
centre view,https://www.allsides.com/news-source/centre-view,left-center,545.0,613.0,0.88907014680442,somewhat disagree
chicago defender,https://www.allsides.com/news-source/chicago-defender-media-bias,left,2.0,0.0,200000000.0,absolutely agree
counterpointing,https://www.allsides.com/news-source/counterpointing,allsides,371.0,348.0,1.06609195399235,somewhat agree
crowdpac,https://www.allsides.com/news-source/crowdpac,center,395.0,414.0,0.954106280170191,somewhat disagree
cu independent,https://www.allsides.com/news-source/cu-independent,center,346.0,410.0,0.843902439003807,somewhat disagree
daily cardinal,https://www.allsides.com/news-source/daily-cardinal,center,406.0,430.0,0.94418604648967,somewhat disagree
daily targum,https://www.allsides.com/news-source/daily-targum,left-center,249.0,384.0,0.648437499983114,disagree
diplomatic courier,https://www.allsides.com/news-source/diplomatic-courier,center,346.0,274.0,1.26277372258165,somewhat agree
duke chronicle,https://www.allsides.com/news-source/duke-chronicle,center,378.0,379.0,0.997361477546244,somewhat disagree
erraticus,https://www.allsides.com/news-source/erraticus-media-bias,center,3.0,3.0,0.999999996666667,
estes park trail gazette,https://www.allsides.com/news-source/estes-park-trail-gazette,center,245.0,327.0,0.749235473983204,somewhat disagree
