name_mbfc,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc
100% fed up,https://mediabiasfactcheck.com/100-percent-fed-up/,questionable sources,low,united states,"97,906"
10news.one,https://mediabiasfactcheck.com/10news-one/,questionable sources,low,united states,"2,011"
24 news,https://mediabiasfactcheck.com/24-news/,questionable sources,low,united states,527
247 news media,https://mediabiasfactcheck.com/247-news-media/,questionable sources,very low,macedonia,213
2nd amendment daily news,https://mediabiasfactcheck.com/2nd-amendment-daily-news/,questionable sources,low,united states,0
3ccorp.net,https://mediabiasfactcheck.com/3ccorp-net/,questionable sources,low,united states,0
a voice for men,https://mediabiasfactcheck.com/a-voice-for-men/,questionable sources,low,united states,"52,202"
abcnews-us,https://mediabiasfactcheck.com/abcnews-us-com/,questionable sources,very low,unknown or invalid region,18
activist mommy,https://mediabiasfactcheck.com/activist-mommy/,questionable sources,low,united states,"4,845"
age of shitlords,https://mediabiasfactcheck.com/age-of-shitlords/,questionable sources,low,united states,"19,714"
ajuanews,https://mediabiasfactcheck.com/ajuanews-com/,questionable sources,very low,unknown or invalid region,0
all news pipeline,https://mediabiasfactcheck.com/all-news-pipeline/,questionable sources,low,united states,"27,276"
allen west republic,https://mediabiasfactcheck.com/allen-west-republic/,questionable sources,low,united states,"31,748"
alliance defending freedom,https://mediabiasfactcheck.com/alliance-defending-freedom/,questionable sources,low,united states,"645,093"
alpha news,https://mediabiasfactcheck.com/alpha-news/,questionable sources,low,united states,"15,259"
amazingnews.net,https://mediabiasfactcheck.com/amazingnews-net/,questionable sources,low,unknown or invalid region,1
america talks with david zublick,https://mediabiasfactcheck.com/america-talks-with-david-zublick-bias-credibility-rating/,questionable sources,very low,united states,"7,513"
american action news,https://mediabiasfactcheck.com/american-action-news/,questionable sources,mixed,united states,0
american college of pediatricians,https://mediabiasfactcheck.com/american-college-of-pediatricians/,questionable sources,mixed,united states,"4,843"
american family association,https://mediabiasfactcheck.com/american-family-association/,questionable sources,low,united states,"198,346"
american flavor news,https://mediabiasfactcheck.com/american-flavor/,questionable sources,very low,unknown or invalid region,243
americas freedom fighters,https://mediabiasfactcheck.com/american-freedom-fighters/,questionable sources,very low,unknown or invalid region,"3,704"
american journal review,https://mediabiasfactcheck.com/american-journal-review/,questionable sources,low,united states,154
american lookout,https://mediabiasfactcheck.com/american-lookout/,questionable sources,low,united states,"21,235"
american patriot daily,https://mediabiasfactcheck.com/american-patriot-daily/,questionable sources,mixed,,"20,789"
american people network,https://mediabiasfactcheck.com/american-people-network/,questionable sources,very low,macedonia,"1,657"
american prides,https://mediabiasfactcheck.com/american-prides/,questionable sources,low,india,7
american principles project,https://mediabiasfactcheck.com/american-principles-project/,questionable sources,low,united states,"30,226"
american renaissance magazine,https://mediabiasfactcheck.com/american-renaissance-magazine/,questionable sources,low,united states,"292,819"
"american society for the defense of tradition, family, and property",https://mediabiasfactcheck.com/american-society-defense-tradition-family-property/,questionable sources,low,united states,"76,104"
american today,https://mediabiasfactcheck.com/american-today/,questionable sources,low,united states,"8,111"
american truth seekers,https://mediabiasfactcheck.com/american-truth-seekers/,questionable sources,low,unknown or invalid region,7
american truth today,https://mediabiasfactcheck.com/american-truth-today/,questionable sources,low,united states,0
american updater,https://mediabiasfactcheck.com/american-updater/,questionable sources,low,macedonia,33
american web media (awm),https://mediabiasfactcheck.com/american-web-media-awm/,questionable sources,mixed,united states,"1,443"
americans against the tea party (aattp),https://mediabiasfactcheck.com/americans-against-the-tea-party-aattp/,questionable sources,low,united states,"100,728"
americans are pissed,https://mediabiasfactcheck.com/americans-are-pissed/,questionable sources,low,unknown or invalid region,0
americans for truth,https://mediabiasfactcheck.com/americans-for-truth-aftah/,questionable sources,very low,united states,"96,617"
america's news source,https://mediabiasfactcheck.com/americas-news-source/,questionable sources,very low,unknown or invalid region,0
analyzing america,https://mediabiasfactcheck.com/analyzing-america/,questionable sources,mixed,united states,0
anews-24 (american news),https://mediabiasfactcheck.com/anews-24-com-american-news/,questionable sources,very low,macedonia,46
archaeology world,https://mediabiasfactcheck.com/archaeology-world/,questionable sources,mixed,unknown or invalid region,0
backroom buzz,https://mediabiasfactcheck.com/backroom-buzz/,questionable sources,low,united states,"1,978"
banned information,https://mediabiasfactcheck.com/banned-information/,questionable sources,mixed,united states,"3,033"
bare naked islam,https://mediabiasfactcheck.com/bare-naked-islam/,questionable sources,low,united states,"131,596"
bb4sp,https://mediabiasfactcheck.com/bb4sp/,questionable sources,low,united states,"64,163"
beaware,https://mediabiasfactcheck.com/beaware/,questionable sources,low,macedonia,281
before it's news,https://mediabiasfactcheck.com/before-its-news/,questionable sources,low,united states,"1,359,556"
best daily news,https://mediabiasfactcheck.com/best-daily-news/,questionable sources,low,macedonia,0
big blue vision,https://mediabiasfactcheck.com/big-blue-vision/,questionable sources,low,unknown or invalid region,11
big government news,https://mediabiasfactcheck.com/big-government-news/,conspiracy-pseudoscience,very low,united states,720
big league politics,https://mediabiasfactcheck.com/big-league-politics/,questionable sources,low,united states,"219,813"
billionbibles,https://mediabiasfactcheck.com/billionbibles-bias-credibility-christian-propaganda-fake-news/,questionable sources,very low,united states,101
bipartisan report,https://mediabiasfactcheck.com/bipartisan-report/,questionable sources,mixed,united states,"51,440"
black eye politics,https://mediabiasfactcheck.com/black-eye-politics-bias-credibility-rating/,questionable sources,low,,"3,852"
black genocide,https://mediabiasfactcheck.com/black-genocide/,questionable sources,low,united states,"24,656"
black pigeon speaks,https://mediabiasfactcheck.com/black-pigeon-speaks/,questionable sources,low,united states,"18,310"
blingnews,https://mediabiasfactcheck.com/blingnews-com/,questionable sources,low,united states,"6,251"
blue dot daily,https://mediabiasfactcheck.com/blue-dot-daily/,questionable sources,mixed,united states,46
blue informer,https://mediabiasfactcheck.com/blue-informer/,questionable sources,low,united states,1
blue vision post,https://mediabiasfactcheck.com/blue-vision-post/,questionable sources,low,united states,1
bluevision.news,https://mediabiasfactcheck.com/bluevision-news/,questionable sources,low,united states,33
blunt force truth,https://mediabiasfactcheck.com/blunt-force-truth/,questionable sources,low,united states,"49,953"
bongino,https://mediabiasfactcheck.com/bongino-com/,questionable sources,mixed,united states,"154,293"
borderland alternative media (bam),https://mediabiasfactcheck.com/borderland-alternative-media-bam/,questionable sources,low,united states,157
breaking news house,https://mediabiasfactcheck.com/breaking-news-house/,questionable sources,low,unknown or invalid region,0
breaking911,https://mediabiasfactcheck.com/breaking911/,questionable sources,very low,unknown or invalid region,"75,217"
caldron pool,https://mediabiasfactcheck.com/caldron-pool/,questionable sources,mixed,australia,0
canada free press,https://mediabiasfactcheck.com/canada-free-press/,questionable sources,low,canada,"267,929"
cap news,https://mediabiasfactcheck.com/cap-news/,questionable sources,very low,unknown or invalid region,56
cbsnews.co,https://mediabiasfactcheck.com/cbsnews-com-co/,questionable sources,very low,unknown or invalid region,107
censored.news,https://mediabiasfactcheck.com/censored-news/,questionable sources,low,united states,0
center for security policy,https://mediabiasfactcheck.com/center-for-security-policy/,questionable sources,mixed,united states,"266,184"
center for research of radicalism and national security,https://mediabiasfactcheck.com/centre-for-research-of-radicalism-and-national-security-crrns/,questionable sources,low,,970
cerno (cernovich),https://mediabiasfactcheck.com/cerno-cernovich-com/,questionable sources,mixed,united states,"3,010"
checkpoint asia,https://mediabiasfactcheck.com/checkpoint-asia-bias-credibility-propaganda-rating/,questionable sources,low,unknown or invalid region,"11,128"
china daily,https://mediabiasfactcheck.com/china-daily/,questionable sources,mixed,china,"32,932,238"
christian action network,https://mediabiasfactcheck.com/christian-action-network/,questionable sources,low,united states,"52,893"
church militant,https://mediabiasfactcheck.com/church-militant/,questionable sources,mixed,united states,"124,076"
cityworldnews,https://mediabiasfactcheck.com/cityworldnews/,questionable sources,very low,unknown or invalid region,184
clarion project,https://mediabiasfactcheck.com/clarion-project/,questionable sources,low,united states,"164,426"
clash daily,https://mediabiasfactcheck.com/clash-daily/,questionable sources,low,united states,"269,384"
clover chronicle,https://mediabiasfactcheck.com/clover-chronicle-bias-credibility-fake-news/,questionable sources,low,unknown or invalid region,"3,303"
cnn.de,https://mediabiasfactcheck.com/cnn-com-de/,questionable sources,very low,unknown or invalid region,"1,626"
cnn-globalnews,https://mediabiasfactcheck.com/cnn-globalnews-com/,questionable sources,very low,,598
competitive enterprise institute,https://mediabiasfactcheck.com/competitive-enterprise-institute/,questionable sources,low,united states,"365,049"
concerned women for america,https://mediabiasfactcheck.com/concerned-women-america/,questionable sources,low,united states,"160,558"
conservapedia,https://mediabiasfactcheck.com/conservapedia/,questionable sources,mixed,united states,"24,826"
conservative 101,https://mediabiasfactcheck.com/conservative-101/,questionable sources,low,unknown or invalid region,738
conservative ammo,https://mediabiasfactcheck.com/conservative-ammo/,questionable sources,low,united states,0
conservative army,https://mediabiasfactcheck.com/conservative-army/,questionable sources,low,unknown or invalid region,"1,840"
conservative byte,https://mediabiasfactcheck.com/conservative-byte/,questionable sources,low,united states,"93,745"
conservative daily post,https://mediabiasfactcheck.com/conservative-daily-post/,questionable sources,low,unknown or invalid region,"59,158"
conservative fighters,https://mediabiasfactcheck.com/conservative-fighters/,questionable sources,low,united states,"28,165"
conservative firing line,https://mediabiasfactcheck.com/conservative-firing-line/,questionable sources,mixed,united states,"92,912"
conservative flash news,https://mediabiasfactcheck.com/conservative-flash-news/,questionable sources,low,unknown or invalid region,52
conservative free press,https://mediabiasfactcheck.com/conservative-free-press/,questionable sources,low,united states,"2,513"
conservative info corner,https://mediabiasfactcheck.com/conservative-info-corner/,questionable sources,low,unknown or invalid region,33
conservative media,https://mediabiasfactcheck.com/conservative-media/,questionable sources,low,united states,"22,702"
conservative movement,https://mediabiasfactcheck.com/conservative-movement/,questionable sources,low,unknown or invalid region,7
conservative nation,https://mediabiasfactcheck.com/conservative-nation/,questionable sources,low,united states,"7,298"
conservative patriot,https://mediabiasfactcheck.com/conservative-patriot/,questionable sources,low,unknown or invalid region,337
conservative politics today,https://mediabiasfactcheck.com/conservative-politics-today/,questionable sources,low,united states,4
conservative politicus,https://mediabiasfactcheck.com/conservative-politicus/,questionable sources,low,unknown or invalid region,5
conservative post,https://mediabiasfactcheck.com/conservative-post/,questionable sources,low,united states,"18,226"
conservative spirit,https://mediabiasfactcheck.com/conservative-spirit/,questionable sources,low,unknown or invalid region,42
conservative tribune,https://mediabiasfactcheck.com/conservative-tribune/,questionable sources,very low,united states,"377,084"
conspiracy inquirer,https://mediabiasfactcheck.com/conspiracy-inquirer/,questionable sources,very low,united states,4
constitution rising,https://mediabiasfactcheck.com/constitution-rising/,questionable sources,mixed,united states,"32,510"
council for american-islamic relations (cair),https://mediabiasfactcheck.com/council-on-american-islamic-relations-cair/,questionable sources,mixed,united states,"105,614"
daily buzz live,https://mediabiasfactcheck.com/daily-buzz-live/,questionable sources,very low,united states,"6,060"
daily headlines,https://mediabiasfactcheck.com/daily-headlines/,questionable sources,low,unknown or invalid region,"38,428"
daily infobox,https://mediabiasfactcheck.com/daily-infobox/,questionable sources,very low,unknown or invalid region,4
daily insider news,https://mediabiasfactcheck.com/daily-insider-news/,questionable sources,low,united states,107
daily notify,https://mediabiasfactcheck.com/daily-notify/,questionable sources,low,canada,65
daily political newswire,https://mediabiasfactcheck.com/daily-political-newswire/,questionable sources,mixed,unknown or invalid region,"2,362"
daily presser,https://mediabiasfactcheck.com/daily-presser/,questionable sources,low,united states,"1,676"
daily star uk,https://mediabiasfactcheck.com/daily-star-uk/,questionable sources,mixed,united kingdom,"642,527"
daily stormer,https://mediabiasfactcheck.com/daily-stormer/,questionable sources,very low,united states,"207,386"
daily usa update,https://mediabiasfactcheck.com/daily-usa-update/,questionable sources,low,united states,13
daily world information,https://mediabiasfactcheck.com/daily-world-information/,questionable sources,very low,unknown or invalid region,2
dam-reports,https://mediabiasfactcheck.com/dam-reports/,questionable sources,very low,unknown or invalid region,5
david icke,https://mediabiasfactcheck.com/david-icke/,conspiracy-pseudoscience,very low,united kingdom,"1,239,324"
dc blue dot,https://mediabiasfactcheck.com/dc-blue-dot/,questionable sources,mixed,united states,"3,965"
dc dirty laundry,https://mediabiasfactcheck.com/dc-dirty-laundry/,questionable sources,very low,united states,"202,161"
dc gazette,https://mediabiasfactcheck.com/dc-gazette/,questionable sources,low,united states,35
debkafile,https://mediabiasfactcheck.com/debkafile/,questionable sources,mixed,israel,"729,987"
deep left field,https://mediabiasfactcheck.com/deep-left-field/,questionable sources,mixed,united states,397
defend europa,https://mediabiasfactcheck.com/defend-europa/,questionable sources,low,netherlands,"2,073"
defiant america,https://mediabiasfactcheck.com/defiant-america/,questionable sources,low,united states,"50,833"
defund,https://mediabiasfactcheck.com/defund-com/,questionable sources,low,unknown or invalid region,"4,368"
democratic moms,https://mediabiasfactcheck.com/democratic-moms/,questionable sources,low,unknown or invalid region,"3,883"
denver guardian,https://mediabiasfactcheck.com/denver-guardian/,questionable sources,very low,united states,182
departed (maganews),https://mediabiasfactcheck.com/departed-maganews-com/,questionable sources,very low,united states,16
deplorable kel,https://mediabiasfactcheck.com/deplorable-kel/,questionable sources,low,united states,149
deplorable movement 2020,https://mediabiasfactcheck.com/deplorable-movement-2020/,questionable sources,low,united states,6
discover the networks,https://mediabiasfactcheck.com/discover-the-networks/,questionable sources,low,united states,"418,779"
donald trump news,https://mediabiasfactcheck.com/donald-trump-news/,questionable sources,very low,united states,643
downtrend,https://mediabiasfactcheck.com/downtrend/,questionable sources,low,united states,"34,791"
draining the swamp,https://mediabiasfactcheck.com/draining-the-swamp/,questionable sources,low,united states,2
eagle rising,https://mediabiasfactcheck.com/eagle-rising/,questionable sources,low,united states,"43,752"
earthnews-conservative news,https://mediabiasfactcheck.com/earthnews-conservative-news/,questionable sources,mixed,unknown or invalid region,4
ecology news,https://mediabiasfactcheck.com/ecology-news/,conspiracy-pseudoscience,very low,united states,0
educate yourself,https://mediabiasfactcheck.com/educate-yourself/,conspiracy-pseudoscience,very low,united states,"65,988"
embols,https://mediabiasfactcheck.com/embols/,questionable sources,low,united states,45
empire herald,https://mediabiasfactcheck.com/empire-herald/,questionable sources,low,united states,"8,389"
en-volve,https://mediabiasfactcheck.com/en-volve/,questionable sources,very low,,"67,927"
end the fed,https://mediabiasfactcheck.com/end-the-fed/,questionable sources,low,united states,855
ending the fed,https://mediabiasfactcheck.com/ending-the-fed-news/,questionable sources,low,united states,"3,328"
enh live,https://mediabiasfactcheck.com/enh-live/,questionable sources,low,unknown or invalid region,"2,898"
everyday for gun safety,https://mediabiasfactcheck.com/everytown-for-gun-safety/,questionable sources,mixed,united states,"68,878"
evil.news,https://mediabiasfactcheck.com/evil-news/,questionable sources,low,united states,0
experience awareness (abcbusinessnews),https://mediabiasfactcheck.com/experience-awareness-abcbusinessnews-com/,questionable sources,mixed,united states,25
explain life,https://mediabiasfactcheck.com/explain-life/,questionable sources,very low,unknown or invalid region,"2,630"
exposing government,https://mediabiasfactcheck.com/exposing-government/,questionable sources,low,,173
fact checking turkey,https://mediabiasfactcheck.com/fact-checking-turkey/,questionable sources,mixed,turkey,"18,684"
facts wanted,https://mediabiasfactcheck.com/facts-wanted/,questionable sources,mixed,belize,"8,636"
family research council,https://mediabiasfactcheck.com/family-research-council/,questionable sources,low,united states,"268,084"
fash the nation,https://mediabiasfactcheck.com/fash-the-nation/,questionable sources,very low,united states,0
federalist nation,https://mediabiasfactcheck.com/federalist-nation/,questionable sources,low,unknown or invalid region,"2,568"
flash news corner,https://mediabiasfactcheck.com/flash-news-corner/,questionable sources,very low,unknown or invalid region,17
flex mag,https://mediabiasfactcheck.com/flex-mag/,questionable sources,low,,551
florida sun-post,https://mediabiasfactcheck.com/florida-sun-post/,questionable sources,very low,united states,16
focus on the family,https://mediabiasfactcheck.com/focus-on-the-family/,questionable sources,low,united states,"429,975"
for the right news,https://mediabiasfactcheck.com/for-the-right-news/,questionable sources,low,united states,0
france24-tv,https://mediabiasfactcheck.com/france24-tv-com/,questionable sources,very low,france,102
freakout nation,https://mediabiasfactcheck.com/freakout-nation/,questionable sources,low,unknown or invalid region,"33,297"
free patriot post,https://mediabiasfactcheck.com/free-patriot-post/,questionable sources,low,unknown or invalid region,262
politicsonline.net,https://mediabiasfactcheck.com/free-speech-time/,questionable sources,low,unknown or invalid region,37
freedom daily,https://mediabiasfactcheck.com/freedom-daily/,questionable sources,low,unknown or invalid region,"2,368"
freedom news report,https://mediabiasfactcheck.com/freedom-news-report/,questionable sources,mixed,united states,713
freedom's final stand,https://mediabiasfactcheck.com/freedoms-final-stand/,questionable sources,low,unknown or invalid region,133
fresh news usa,https://mediabiasfactcheck.com/fresh-news-usa/,questionable sources,low,united states,39
fury news,https://mediabiasfactcheck.com/fury-news/,questionable sources,very low,unknown or invalid region,"2,562"
fwd now,https://mediabiasfactcheck.com/fwd-now/,questionable sources,mixed,united states,207
gatestone institute,https://mediabiasfactcheck.com/gatestone-institute/,questionable sources,mixed,united states,"474,478"
geller report,https://mediabiasfactcheck.com/geller-report/,questionable sources,low,united states,"355,909"
geology in,https://mediabiasfactcheck.com/geology-in/,questionable sources,mixed,united states,"5,315"
girls just wanna have guns,https://mediabiasfactcheck.com/girls-just-wanna-have-guns/,questionable sources,low,united states,"119,306"
global info today,https://mediabiasfactcheck.com/global-info-today/,questionable sources,low,,171
global politics now,https://mediabiasfactcheck.com/global-politics-now/,questionable sources,low,unknown or invalid region,171
global times,https://mediabiasfactcheck.com/global-times-china/,questionable sources,mixed,china,"4,052,455"
globe magazine,https://mediabiasfactcheck.com/globe-magazine/,questionable sources,very low,canada,"7,377"
gnews,https://mediabiasfactcheck.com/gnews/,questionable sources,low,united states,0
god good lord above,https://mediabiasfactcheck.com/god-good-lord-above/,questionable sources,mixed,united states,"1,097"
godfather politics,https://mediabiasfactcheck.com/godfather-politics/,questionable sources,mixed,united states,"147,171"
gone left,https://mediabiasfactcheck.com/gone-left/,questionable sources,low,unknown or invalid region,6
goodgopher,https://mediabiasfactcheck.com/goodgopher/,questionable sources,very low,united states,"415,339"
gop.gov,https://mediabiasfactcheck.com/gop-gov-house-republicans/,questionable sources,mixed,united states,"86,749"
gop watchdog,https://mediabiasfactcheck.com/gop-watchdog/,questionable sources,low,united states,217
gotnews,https://mediabiasfactcheck.com/gotnews/,questionable sources,low,united states,"90,366"
grain of truth,https://mediabiasfactcheck.com/grain-of-truth/,questionable sources,very low,canada,0
great american daily,https://mediabiasfactcheck.com/great-american-daily/,questionable sources,low,united states,0
great american republic,https://mediabiasfactcheck.com/great-american-republic-bias-credibility-fake-news/,questionable sources,low,united states,"63,777"
grunge,https://mediabiasfactcheck.com/grunge/,questionable sources,mixed,united states,
hang the bankers,https://mediabiasfactcheck.com/hang-the-bankers/,questionable sources,low,united states,"174,565"
hard news,https://mediabiasfactcheck.com/hard-news/,questionable sources,mixed,united states,"1,181"
hawar news agancy,https://mediabiasfactcheck.com/hawar-news-agency/,questionable sources,low,syria,"4,643"
head topics,https://mediabiasfactcheck.com/head-topics/,questionable sources,mixed,unknown or invalid region,0
healing oracle,https://mediabiasfactcheck.com/healing-oracle/,conspiracy-pseudoscience,very low,unknown or invalid region,"7,126"
health nut news,https://mediabiasfactcheck.com/health-nut-news/,conspiracy-pseudoscience,very low,united states,"17,513"
heartland institute,https://mediabiasfactcheck.com/heartland-institute/,questionable sources,low,united states,"183,731"
hogg watch,https://mediabiasfactcheck.com/hogg-watch/,questionable sources,low,united states,95
i hate the media,https://mediabiasfactcheck.com/i-hate-the-media/,questionable sources,low,united states,"202,929"
"i, hypocrite",https://mediabiasfactcheck.com/i-hypocrite/,questionable sources,mixed,united states,751
i love my freedom,https://mediabiasfactcheck.com/i-love-my-freedom/,questionable sources,very low,united states,"14,243"
identity evropa,https://mediabiasfactcheck.com/identity-evropa/,questionable sources,very low,united states,"8,457"
if you only news,https://mediabiasfactcheck.com/if-you-only-news/,questionable sources,very low,united states,"130,778"
illegal alien crime report,https://mediabiasfactcheck.com/illegal-alien-crime-report/,questionable sources,mixed,united states,"35,178"
illicit info,https://mediabiasfactcheck.com/illicit-info/,questionable sources,low,united states,"41,948"
imowired,https://mediabiasfactcheck.com/imowired/,questionable sources,very low,united states,"1,824"
infogalactic,https://mediabiasfactcheck.com/infogalactic/,questionable sources,low,united states,"22,585"
information liberation,https://mediabiasfactcheck.com/information-liberation/,questionable sources,low,united states,"671,366"
informed owners,https://mediabiasfactcheck.com/informed-owners/,questionable sources,very low,unknown or invalid region,168
infoscum,https://mediabiasfactcheck.com/infoscum/,questionable sources,mixed,canada,"48,742"
institute for historical review (ihr),https://mediabiasfactcheck.com/institute-for-historical-review/,questionable sources,very low,united states,"50,347"
internationalanization for the family (iof),https://mediabiasfactcheck.com/international-organization-for-the-family-iof/,questionable sources,low,united states,"24,105"
israel video network,https://mediabiasfactcheck.com/israel-video-network/,questionable sources,mixed,israel,"17,108"
itag live,https://mediabiasfactcheck.com/itag-live/,questionable sources,very low,united states,42
jew watch,https://mediabiasfactcheck.com/jew-watch/,questionable sources,low,united states,"36,011"
joe for america,https://mediabiasfactcheck.com/joe-for-america/,questionable sources,low,united states,"154,832"
jones report,https://mediabiasfactcheck.com/jones-report/,conspiracy-pseudoscience,very low,united states,"13,467"
jookos news,https://mediabiasfactcheck.com/jookos-news/,questionable sources,low,unknown or invalid region,"1,214"
just the facts,https://mediabiasfactcheck.com/just-the-facts/,questionable sources,mixed,united states,"2,924"
knights templar international,https://mediabiasfactcheck.com/knights-templar-international/,questionable sources,low,united states,"7,399"
lady liberty news,https://mediabiasfactcheck.com/lady-liberty-news/,questionable sources,low,,929
learntherisk,https://mediabiasfactcheck.com/learntherisk-org/,conspiracy-pseudoscience,very low,united states,"4,653"
left action,https://mediabiasfactcheck.com/left-action/,questionable sources,low,united states,"6,133"
left exposed,https://mediabiasfactcheck.com/left-exposed/,questionable sources,low,united states,"64,292"
lew rockwell,https://mediabiasfactcheck.com/lew-rockwell/,questionable sources,mixed,united states,"2,405,217"
liberal speak,https://mediabiasfactcheck.com/liberal-speak/,questionable sources,mixed,united states,"2,274"
liberty alliance,https://mediabiasfactcheck.com/liberty-alliance/,questionable sources,mixed,united states,"3,904"
liberty brief,https://mediabiasfactcheck.com/liberty-brief/,questionable sources,low,united states,19
liberty courier,https://mediabiasfactcheck.com/liberty-courier/,questionable sources,low,united states,4
liberty is viral,https://mediabiasfactcheck.com/liberty-is-viral/,questionable sources,low,united states,"18,134"
london web news,https://mediabiasfactcheck.com/london-web-news/,questionable sources,low,united kingdom,430
loonwatch,https://mediabiasfactcheck.com/loonwatch/,questionable sources,low,united states,"159,626"
loser,https://mediabiasfactcheck.com/loser-com/,questionable sources,mixed,united states,"2,243"
lucianne,https://mediabiasfactcheck.com/lucianne-com/,questionable sources,mixed,united states,"1,502,568"
mad american network,https://mediabiasfactcheck.com/mad-american-network/,questionable sources,low,,34
mad world news,https://mediabiasfactcheck.com/mad-world-news/,questionable sources,low,united states,"48,121"
maga daily report,https://mediabiasfactcheck.com/maga-daily-report/,questionable sources,mixed,united states,"1,782"
magapill,https://mediabiasfactcheck.com/magapill/,questionable sources,mixed,united states,"25,689"
martinlutherking,https://mediabiasfactcheck.com/martinlutherking-org/,questionable sources,very low,united states,"1,123,150"
mbga - make britain great again,https://mediabiasfactcheck.com/mbga-make-britain-great/,questionable sources,low,united kingdom,39
media zone,https://mediabiasfactcheck.com/media-zone/,questionable sources,low,,1
mehr news agency,https://mediabiasfactcheck.com/mehr-news-agency/,questionable sources,mixed,iran,"366,352"
metapedia,https://mediabiasfactcheck.com/metapedia/,questionable sources,low,united states,"1,000"
middle american democrat,https://mediabiasfactcheck.com/middle-american-democrat-bias-report/,questionable sources,mixed,united states,5
middle east forum,https://mediabiasfactcheck.com/middle-east-forum/,questionable sources,low,united states,"234,182"
middle east media research institute (memri),https://mediabiasfactcheck.com/middle-east-media-research-institute-memri/,questionable sources,mixed,united states,"773,844"
mixi.media,https://mediabiasfactcheck.com/mixi-media/,questionable sources,low,,"1,513,790"
molon labe media,https://mediabiasfactcheck.com/molon-labe-media/,questionable sources,low,united states,"1,963"
moonbattery,https://mediabiasfactcheck.com/moonbattery/,questionable sources,low,united states,"1,029,684"
moveon,https://mediabiasfactcheck.com/move-on/,questionable sources,mixed,united states,"607,189"
moving left,https://mediabiasfactcheck.com/moving-left/,questionable sources,low,united states,34
mr. conservative (mrc),https://mediabiasfactcheck.com/mr-conservative-mrc/,questionable sources,low,united states,"32,143"
msmlies,https://mediabiasfactcheck.com/msmlies-com/,questionable sources,mixed,unknown or invalid region,0
my right american,https://mediabiasfactcheck.com/my-right-american/,questionable sources,low,,213
my zone today,https://mediabiasfactcheck.com/myzonetoday/,questionable sources,mixed,unknown or invalid region,5
nation45,https://mediabiasfactcheck.com/nation45/,questionable sources,very low,canada,379
national alliance,https://mediabiasfactcheck.com/national-alliance/,questionable sources,very low,united states,"93,482"
national economics editorial,https://mediabiasfactcheck.com/national-economics-editorial/,questionable sources,low,united states,109
national enquirer,https://mediabiasfactcheck.com/national-enquirer/,questionable sources,low,united states,"596,961"
national rifle association,https://mediabiasfactcheck.com/national-rifle-association-nra/,questionable sources,mixed,united states,"4,506,998"
national vanguard,https://mediabiasfactcheck.com/national-vanguard/,questionable sources,very low,united states,"89,227"
native american news,https://mediabiasfactcheck.com/native-american-news/,questionable sources,very low,unknown or invalid region,5
native americans,https://mediabiasfactcheck.com/native-americans/,questionable sources,very low,ukraine,10
natural news,https://mediabiasfactcheck.com/natural-news/,conspiracy-pseudoscience,very low,united states,"1,055,353"
neverrepublican,https://mediabiasfactcheck.com/neverrepublican-com/,questionable sources,low,,329
nevo news,https://mediabiasfactcheck.com/nevo-news/,questionable sources,low,unknown or invalid region,51
new century times,https://mediabiasfactcheck.com/new-century-times/,questionable sources,low,unknown or invalid region,"5,293"
new nation news,https://mediabiasfactcheck.com/new-nation-news/,questionable sources,very low,united states,"281,728"
new politics today,https://mediabiasfactcheck.com/new-politics-today/,questionable sources,low,united states,"2,572"
news blaze,https://mediabiasfactcheck.com/news-blaze/,questionable sources,mixed,,"127,443"
news conservative,https://mediabiasfactcheck.com/news-conservative/,questionable sources,very low,unknown or invalid region,4
news feed hunter,https://mediabiasfactcheck.com/news-feed-hunter/,questionable sources,low,unknown or invalid region,65
news procession,https://mediabiasfactcheck.com/news-procession/,questionable sources,mixed,unknown or invalid region,273
news punch,https://mediabiasfactcheck.com/news-punch/,questionable sources,very low,united states,"78,030"
news and stories from usa,https://mediabiasfactcheck.com/news-stories-usa/,questionable sources,low,unknown or invalid region,288
news up today,https://mediabiasfactcheck.com/news-up-today/,questionable sources,low,china,32
