name_allsides,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as,orig_name_as,unique_id_as,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc,orig_name_mbfc,unique_id_mbfc,name_mbfc
abc news,https://www.allsides.com/news-source/abc-news-media-bias,left-center,17523,11118,1.5760928224486632,agree,abc news,0,https://mediabiasfactcheck.com/abc-news/,left-center,high,united states,"17,070,597",abc news,1304,abc news
above the law,https://www.allsides.com/news-source/above-law-media-bias,left-center,8,5,1.5999999968,agree,above the law,1,https://mediabiasfactcheck.com/above-the-law/,left-center,high,united states,"807,265",above the law,1307,above the law
al jazeera,https://www.allsides.com/news-source/al-jazeera-media-bias,left-center,3986,6440,0.6189440993779209,disagree,al jazeera,4,https://mediabiasfactcheck.com/al-jazeera/,left-center,mixed,qatar,"7,805,699",al jazeera,695,al jazeera
alternet,https://www.allsides.com/news-source/alternet-media-bias,left,5137,1191,4.313182199795859,absolutely agree,alternet,7,https://mediabiasfactcheck.com/alternet/,left,mixed,united states,"3,358,583",alternet,703,alternet
american greatness,https://www.allsides.com/news-source/american-greatness-media-bias,right,174,77,2.259740259446787,strongly agree,american greatness,8,https://mediabiasfactcheck.com/american-greatness/,right,mixed,united states,"243,236",american greatness,712,american greatness
american spectator,https://www.allsides.com/news-source/american-spectator,right,8561,3280,2.6100609756017987,strongly agree,american spectator,9,https://mediabiasfactcheck.com/american-spectator/,right,mixed,united states,"9,433,797",american spectator,720,american spectator
american thinker,https://www.allsides.com/news-source/american-thinker,right,1515,853,1.7760844079510425,agree,american thinker,10,https://mediabiasfactcheck.com/american-thinker/,questionable sources,low,united states,"2,786,512",american thinker,30,american thinker
arkansas democrat-gazette,https://www.allsides.com/news-source/arkansas-democrat-gazette,left,894,696,1.2844827586022345,somewhat agree,arkansas democrat-gazette,12,https://mediabiasfactcheck.com/arkansas-democrat-gazette/,right-center,high,united states,"1,518,710",arkansas democrat-gazette,1370,arkansas democrat-gazette
associated press,https://www.allsides.com/news-source/associated-press-media-bias,center,11050,7934,1.3927401058717006,somewhat agree,associated press,13,https://mediabiasfactcheck.com/associated-press/,center,very high,united states,"5,778,215",associated press,2512,associated press
atlanta journal-constitution,https://www.allsides.com/news-source/atlanta-journal-constitution,left-center,850,770,1.1038961038817676,somewhat agree,atlanta journal-constitution,14,https://mediabiasfactcheck.com/atlanta-journal-constitution/,left-center,high,united states,"6,171,691",atlanta journal-constitution,1380,atlanta journal-constitution
austin american-statesman,https://www.allsides.com/news-source/austin-american-statesman,left-center,739,586,1.261092150149128,somewhat agree,austin american-statesman,15,https://mediabiasfactcheck.com/austin-american-statesman/,left-center,high,united states,"2,303,784",austin american-statesman,1385,austin american-statesman
axios,https://www.allsides.com/news-source/axios,center,1650,1937,0.8518327310229643,somewhat disagree,axios,16,https://mediabiasfactcheck.com/axios/,left-center,high,united states,"389,083",axios,1390,axios
bbc news,https://www.allsides.com/news-source/bbc-news-media-bias,center,14254,13565,1.0507924806479536,somewhat agree,bbc news,19,https://mediabiasfactcheck.com/bbc/,left-center,high,united kingdom,"13,112,113",bbc news,1399,bbc news
bloomberg,https://www.allsides.com/news-source/bloomberg-media-bias,center,8002,11059,0.7235735599957287,somewhat disagree,bloomberg,23,https://mediabiasfactcheck.com/bloomberg/,left-center,mixed,united states,"10,507,362",bloomberg,744,bloomberg
boston herald,https://www.allsides.com/news-source/boston-herald-media-bias,right-center,360,318,1.1320754716625132,somewhat agree,boston herald,26,https://mediabiasfactcheck.com/boston-herald/,right-center,high,united states,"502,831",boston herald,1424,boston herald
business insider,https://www.allsides.com/news-source/business-insider,center,2224,2813,0.7906150017746513,somewhat disagree,business insider,31,https://mediabiasfactcheck.com/business-insider/,left-center,high,united states,"4,516,930",business insider,1436,business insider
c-span,https://www.allsides.com/news-source/c-span,center,2996,929,3.2249730893086657,absolutely agree,c-span,34,https://mediabiasfactcheck.com/c-span/,center,very high,united states,"8,228,481",c-span,2521,c-span
calwatchdog,https://www.allsides.com/news-source/calwatchdog,center,516,544,0.9485294117472696,somewhat disagree,calwatchdog,36,https://mediabiasfactcheck.com/calwatchdog-com/,left-center,high,united states,"125,982",calwatchdog.com,1440,calwatchdog
care2,https://www.allsides.com/news-source/care-2,left,567,608,0.932565789458346,somewhat disagree,care2,37,https://mediabiasfactcheck.com/care2/,left,mixed,united states,"3,957,118",care2,759,care2
