name_allsides,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as,orig_name_as,unique_id_as,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc,orig_name_mbfc,unique_id_mbfc,name_mbfc
abc news,https://www.allsides.com/news-source/abc-news-media-bias,left-center,17523,11118,1.5760928224486600,agree,abc news,0.0,https://mediabiasfactcheck.com/abc-news/,left-center,high,united states,"17,070,597",abc news,1304.0,abc news
above the law,https://www.allsides.com/news-source/above-law-media-bias,left-center,8,5,1.5999999968,agree,above the law,1.0,https://mediabiasfactcheck.com/above-the-law/,left-center,high,united states,"807,265",above the law,1307.0,above the law
al jazeera,https://www.allsides.com/news-source/al-jazeera-media-bias,left-center,3986,6440,0.6189440993779210,disagree,al jazeera,4.0,https://mediabiasfactcheck.com/al-jazeera/,left-center,mixed,qatar,"7,805,699",al jazeera,695.0,al jazeera
alternet,https://www.allsides.com/news-source/alternet-media-bias,left,5137,1191,4.313182199795860,absolutely agree,alternet,7.0,https://mediabiasfactcheck.com/alternet/,left,mixed,united states,"3,358,583",alternet,703.0,alternet
american greatness,https://www.allsides.com/news-source/american-greatness-media-bias,right,174,77,2.259740259446790,strongly agree,american greatness,8.0,https://mediabiasfactcheck.com/american-greatness/,right,mixed,united states,"243,236",american greatness,712.0,american greatness
american spectator,https://www.allsides.com/news-source/american-spectator,right,8561,3280,2.6100609756018000,strongly agree,american spectator,9.0,https://mediabiasfactcheck.com/american-spectator/,right,mixed,united states,"9,433,797",american spectator,720.0,american spectator
american thinker,https://www.allsides.com/news-source/american-thinker,right,1515,853,1.7760844079510400,agree,american thinker,10.0,https://mediabiasfactcheck.com/american-thinker/,questionable sources,low,united states,"2,786,512",american thinker,30.0,american thinker
arkansas democrat-gazette,https://www.allsides.com/news-source/arkansas-democrat-gazette,left,894,696,1.2844827586022300,somewhat agree,arkansas democrat-gazette,12.0,https://mediabiasfactcheck.com/arkansas-democrat-gazette/,right-center,high,united states,"1,518,710",arkansas democrat-gazette,1370.0,arkansas democrat-gazette
associated press,https://www.allsides.com/news-source/associated-press-media-bias,center,11050,7934,1.3927401058717000,somewhat agree,associated press,13.0,https://mediabiasfactcheck.com/associated-press/,center,very high,united states,"5,778,215",associated press,2512.0,associated press
atlanta journal-constitution,https://www.allsides.com/news-source/atlanta-journal-constitution,left-center,850,770,1.1038961038817700,somewhat agree,atlanta journal-constitution,14.0,https://mediabiasfactcheck.com/atlanta-journal-constitution/,left-center,high,united states,"6,171,691",atlanta journal-constitution,1380.0,atlanta journal-constitution
austin american-statesman,https://www.allsides.com/news-source/austin-american-statesman,left-center,739,586,1.261092150149130,somewhat agree,austin american-statesman,15.0,https://mediabiasfactcheck.com/austin-american-statesman/,left-center,high,united states,"2,303,784",austin american-statesman,1385.0,austin american-statesman
axios,https://www.allsides.com/news-source/axios,center,1650,1937,0.8518327310229640,somewhat disagree,axios,16.0,https://mediabiasfactcheck.com/axios/,left-center,high,united states,"389,083",axios,1390.0,axios
bbc news,https://www.allsides.com/news-source/bbc-news-media-bias,center,14254,13565,1.0507924806479500,somewhat agree,bbc news,19.0,https://mediabiasfactcheck.com/bbc/,left-center,high,united kingdom,"13,112,113",bbc news,1399.0,bbc news
bloomberg,https://www.allsides.com/news-source/bloomberg-media-bias,center,8002,11059,0.7235735599957290,somewhat disagree,bloomberg,23.0,https://mediabiasfactcheck.com/bloomberg/,left-center,mixed,united states,"10,507,362",bloomberg,744.0,bloomberg
boston herald,https://www.allsides.com/news-source/boston-herald-media-bias,right-center,360,318,1.1320754716625100,somewhat agree,boston herald,26.0,https://mediabiasfactcheck.com/boston-herald/,right-center,high,united states,"502,831",boston herald,1424.0,boston herald
business insider,https://www.allsides.com/news-source/business-insider,center,2224,2813,0.7906150017746510,somewhat disagree,business insider,31.0,https://mediabiasfactcheck.com/business-insider/,left-center,high,united states,"4,516,930",business insider,1436.0,business insider
c-span,https://www.allsides.com/news-source/c-span,center,2996,929,3.2249730893086700,absolutely agree,c-span,34.0,https://mediabiasfactcheck.com/c-span/,center,very high,united states,"8,228,481",c-span,2521.0,c-span
calwatchdog,https://www.allsides.com/news-source/calwatchdog,center,516,544,0.9485294117472700,somewhat disagree,calwatchdog,36.0,https://mediabiasfactcheck.com/calwatchdog-com/,left-center,high,united states,"125,982",calwatchdog.com,1440.0,calwatchdog
care2,https://www.allsides.com/news-source/care-2,left,567,608,0.932565789458346,somewhat disagree,care2,37.0,https://mediabiasfactcheck.com/care2/,left,mixed,united states,"3,957,118",care2,759.0,care2
cbs news,https://www.allsides.com/news-source/cbs-news-media-bias,left-center,8985,6723,1.3364569388645900,somewhat agree,cbs news,39.0,https://mediabiasfactcheck.com/cbs-news/,left-center,high,united states,"6,068,779",cbs news,1458.0,cbs news
center for public integrity,https://www.allsides.com/news-source/center-public-integrity,left-center,653,733,0.8908594815703840,somewhat disagree,center for public integrity,41.0,https://mediabiasfactcheck.com/center-for-public-integrity/,left-center,high,united states,"287,572",center for public integrity,1469.0,center for public integrity
check your fact,https://www.allsides.com/news-source/check-your-fact-media-bias,right-center,41,41,0.9999999997560980,nan,check your fact,43.0,https://mediabiasfactcheck.com/check-your-fact/,right-center,high,united states,"8,964",check your fact,1477.0,check your fact
chicago sun-times,https://www.allsides.com/news-source/chicago-sun-times,left-center,734,722,1.0166204986008800,somewhat agree,chicago sun-times,45.0,https://mediabiasfactcheck.com/chicago-sun-times/,left-center,high,united states,"1,735,078",chicago sun-times,1480.0,chicago sun-times
chicago tribune,https://www.allsides.com/news-source/chicago-tribune,center,1878,3353,0.5600954369204890,disagree,chicago tribune,46.0,https://mediabiasfactcheck.com/chicago-tribune/,right-center,high,united states,"4,796,090",chicago tribune,1481.0,chicago tribune
christian science monitor,https://www.allsides.com/news-source/christian-science-monitor,center,10387,13414,0.7743402415381140,somewhat disagree,christian science monitor,47.0,https://mediabiasfactcheck.com/christian-science-monitor/,center,high,united states,"2,602,907",christian science monitor,1483.0,christian science monitor
christianity today,https://www.allsides.com/news-source/christianity-today-media-bias,right-center,70,94,0.7446808509846090,somewhat disagree,christianity today,48.0,https://mediabiasfactcheck.com/christianity-today/,right-center,high,united states,"719,707",christianity today,1484.0,christianity today
city journal,https://www.allsides.com/news-source/city-journal-media-bias,right,315,262,1.2022900762899900,somewhat agree,city journal,49.0,https://mediabiasfactcheck.com/city-journal/,right,high,united states,"805,635",city journal,1494.0,city journal
cnbc,https://www.allsides.com/news-source/cnbc,center,1810,4403,0.4110833522588890,strongly disagree,cnbc,50.0,https://mediabiasfactcheck.com/cnbc/,left-center,high,united states,"3,538,689",cnbc,1499.0,cnbc
cnet,https://www.allsides.com/news-source/cnet,center,253,202,1.2524752474627500,somewhat agree,cnet,51.0,https://mediabiasfactcheck.com/cnet/,center,high,united states,"14,691,424",cnet,1500.0,cnet
columbia journalism review,https://www.allsides.com/news-source/columbia-journalism-review,center,167,298,0.5604026845449530,disagree,columbia journalism review,55.0,https://mediabiasfactcheck.com/columbia-journalism-review/,left-center,high,united states,"633,985",columbia journalism review,1503.0,columbia journalism review
commentary magazine,https://www.allsides.com/news-source/commentary-magazine-media-bias,right,189,207,0.9130434782167610,somewhat disagree,commentary magazine,56.0,https://mediabiasfactcheck.com/commentary-magazine/,right,mostly factual,united states,"694,732",commentary magazine,1224.0,commentary magazine
concord monitor,https://www.allsides.com/news-source/concord-monitor,center,15,19,0.7894736837950140,somewhat disagree,concord monitor,57.0,https://mediabiasfactcheck.com/concord-monitor/,center,high,united states,"566,793",concord monitor,1511.0,concord monitor
conservative hq,https://www.allsides.com/news-source/conservative-hq,right,812,378,2.1481481480913200,strongly agree,conservative hq,58.0,https://mediabiasfactcheck.com/conservative-hq/,right,mixed,united states,"171,696",conservative hq,787.0,conservative hq
current affairs,https://www.allsides.com/news-source/current-affairs-media-bias,left,304,139,2.187050359554890,strongly agree,current affairs,64.0,https://mediabiasfactcheck.com/current-affairs-magazine/,left,high,united states,"22,542",current affairs,1537.0,current affairs
daily beast,https://www.allsides.com/news-source/daily-beast-media-bias,left,9898,4699,2.1064056182121600,strongly agree,daily beast,65.0,https://mediabiasfactcheck.com/daily-beast/,left,high,united states,"2,584,164",daily beast,1541.0,daily beast
daily mail,https://www.allsides.com/news-source/daily-mail,right,4046,2721,1.4869533259776300,somewhat agree,daily mail,68.0,https://mediabiasfactcheck.com/daily-mail/,questionable sources,low,united kingdom,"6,293,579",daily mail,117.0,daily mail
daily press,https://www.allsides.com/news-source/daily-press,right-center,350,439,0.7972665147882170,somewhat disagree,daily press,70.0,https://mediabiasfactcheck.com/daily-press/,right-center,high,united states,"1,078,706",daily press,1549.0,daily press
defense one,https://www.allsides.com/news-source/defense-one-media-bias,center,230,216,1.064814814765520,somewhat agree,defense one,73.0,https://mediabiasfactcheck.com/defense-one/,center,high,united states,"199,685",defense one,1568.0,defense one
