name,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as
ABC News,https://www.allsides.com/news-source/abc-news-media-bias,left-center,17523,11118,1.5760928224486632,agree
Above The Law,https://www.allsides.com/news-source/above-law-media-bias,left-center,8,5,1.5999999968,agree
Abridge News,https://www.allsides.com/news-source/abridge-news-media-bias,allsides,159,98,1.6224489794262809,agree
AJ+,https://www.allsides.com/news-source/aj-media-bias,left,169,75,2.2533333330328893,strongly agree
Al Jazeera,https://www.allsides.com/news-source/al-jazeera-media-bias,left-center,3986,6440,0.6189440993779209,disagree
AllSides,https://www.allsides.com/news-source/allsides-0,allsides,3534,1423,2.4834855937984295,strongly agree
AllSides Community,https://www.allsides.com/news-source/allsides-community,allsides,2287,1373,1.6656955571619396,agree
AlterNet,https://www.allsides.com/news-source/alternet-media-bias,left,5137,1191,4.313182199795859,absolutely agree
American Greatness,https://www.allsides.com/news-source/american-greatness-media-bias,right,174,77,2.259740259446787,strongly agree
American Spectator,https://www.allsides.com/news-source/american-spectator,right,8561,3280,2.6100609756017987,strongly agree
American Thinker,https://www.allsides.com/news-source/american-thinker,right,1515,853,1.7760844079510423,agree
Aquinas College Saint,https://www.allsides.com/news-source/aquinas-college-saint,left,846,553,1.5298372513285743,agree
Arkansas Democrat-Gazette,https://www.allsides.com/news-source/arkansas-democrat-gazette,left,894,696,1.2844827586022345,somewhat agree
Associated Press,https://www.allsides.com/news-source/associated-press-media-bias,center,11050,7934,1.3927401058717006,somewhat agree
Atlanta Journal-Constitution,https://www.allsides.com/news-source/atlanta-journal-constitution,left-center,850,770,1.1038961038817676,somewhat agree
Austin American-Statesman,https://www.allsides.com/news-source/austin-american-statesman,left-center,739,586,1.2610921501491281,somewhat agree
Axios,https://www.allsides.com/news-source/axios,center,1650,1937,0.8518327310229643,somewhat disagree
AZ Central,https://www.allsides.com/news-source/az-central-media-bias,center,87,125,0.69599999994432,somewhat disagree
Barnstable Patriot,https://www.allsides.com/news-source/barnstable-patriot,center,499,579,0.8618307426448734,somewhat disagree
BBC News,https://www.allsides.com/news-source/bbc-news-media-bias,center,14254,13565,1.0507924806479536,somewhat agree
Bearing Drift,https://www.allsides.com/news-source/bearing-drift,right,595,519,1.1464354527717449,somewhat agree
BET,https://www.allsides.com/news-source/bet-media-bias,left-center,70,84,0.8333333332341271,somewhat disagree
Better Angels,https://www.allsides.com/news-source/better-angels-media-bias,allsides,62,55,1.1272727270677685,somewhat agree
