name,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as
Ballotpedia,https://www.allsides.com/news-source/ballotpedia,center,449,357,1.2577030811972632,somewhat agree
Chicago Booth Initiative on Global Markets,https://www.allsides.com/news-source/chicago-booth,allsides,205,206,0.995145631019653,somewhat disagree
Countable,https://www.allsides.com/news-source/countable-media-bias,center,74,83,0.8915662649528234,somewhat disagree
Face the Facts USA,https://www.allsides.com/news-source/face-facts-usa,center,243,363,0.6694214875848644,disagree
First Draft News,https://www.allsides.com/news-source/first-draft-media-bias,center,6,5,1.1999999976,somewhat agree
Gallup,https://www.allsides.com/news-source/gallup,center,428,384,1.1145833333043078,somewhat agree
National Constitution Center,https://www.allsides.com/news-source/national-constitution-center-media-bias,center,42,50,0.839999999832,somewhat disagree
News Literacy Project,https://www.allsides.com/news-source/news-literacy-project-media-bias,center,2,4,0.49999999875,strongly disagree
Pew Research Center,https://www.allsides.com/news-source/pew-research,center,1128,878,1.2847380409876454,somewhat agree
Quinnipiac University,https://www.allsides.com/news-source/quinnipiac-university,center,183,313,0.5846645367225347,disagree
RedBlueDictionary.org,https://www.allsides.com/news-source/redbluedictionaryorg,allsides,119,95,1.2526315788155125,somewhat agree
Sunlight Foundation,https://www.allsides.com/news-source/sunlight-foundation,center,116,141,0.8226950354026457,somewhat disagree
The Thread,https://www.allsides.com/news-source/thread-media-bias,allsides,4,8,0.49999999937499995,strongly disagree
United States Courts,https://www.allsides.com/news-source/united-states-courts,center,184,242,0.7603305784809781,somewhat disagree
Wikipedia,https://www.allsides.com/news-source/wikipedia,center,939,961,0.977107180010644,somewhat disagree
