name,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as
ABC News,https://www.allsides.com/news-source/abc-news-media-bias,left-center,17506,11112,1.5754139668812315,agree
About.com,https://www.allsides.com/news-source/aboutcom,not-rated,22,15,1.4666666656888887,somewhat agree
Above The Law,https://www.allsides.com/news-source/above-law-media-bias,left-center,8,5,1.5999999968,agree
Abridge News,https://www.allsides.com/news-source/abridge-news-media-bias,allsides,159,98,1.6224489794262809,agree
Adrian Daily Telegram,https://www.allsides.com/news-source/adrian-daily-telegram,not-rated,51,85,0.5999999999294118,disagree
Ag Journal,https://www.allsides.com/news-source/ag-journal,not-rated,24,30,0.7999999997333334,somewhat disagree
AJ+,https://www.allsides.com/news-source/aj-media-bias,left,168,75,2.2399999997013333,strongly agree
Akron News Reporter,https://www.allsides.com/news-source/akron-news-reporter,not-rated,35,9,3.888888884567901,absolutely agree
Al Jazeera,https://www.allsides.com/news-source/al-jazeera-media-bias,left-center,3986,6439,0.6190402236362493,disagree
AL.com,https://www.allsides.com/news-source/alcom,not-rated,57,98,0.5816326530018743,disagree
Albany Herald,https://www.allsides.com/news-source/albany-herald,not-rated,19,8,2.37499999703125,strongly agree
Albion Daily Pleaid,https://www.allsides.com/news-source/albion-daily-pleaid,not-rated,37,11,3.363636360578512,absolutely agree
Alcona Country Review,https://www.allsides.com/news-source/alcona-country-review,not-rated,37,13,2.8461538439644967,strongly agree
Alcona County News,https://www.allsides.com/news-source/alcona-county-news,not-rated,24,9,2.6666666637037033,strongly agree
Alcona County Review,https://www.allsides.com/news-source/alcona-county-review,not-rated,31,44,0.7045454543853306,somewhat disagree
AllSides,https://www.allsides.com/news-source/allsides-0,allsides,3534,1422,2.485232067493072,strongly agree
AllSides Community,https://www.allsides.com/news-source/allsides-community,allsides,2287,1372,1.6669096209791043,agree
Alpena Daily News,https://www.allsides.com/news-source/alpena-daily-news,not-rated,40,17,2.3529411750865052,strongly agree
AlterNet,https://www.allsides.com/news-source/alternet-media-bias,left,5128,1188,4.316498316461983,absolutely agree
American Greatness,https://www.allsides.com/news-source/american-greatness-media-bias,right,171,77,2.220779220490808,strongly agree
American Press,https://www.allsides.com/news-source/american-press,not-rated,16,15,1.0666666659555555,somewhat agree
American Spectator,https://www.allsides.com/news-source/american-spectator,right,8555,3278,2.6098230628352357,strongly agree
American Thinker,https://www.allsides.com/news-source/american-thinker,right,1514,851,1.7790834312364385,agree
Americus Times Reporter,https://www.allsides.com/news-source/americus-times-reporter,not-rated,10,6,1.666666663888889,agree
Americus Times-Recorder,https://www.allsides.com/news-source/americus-times-recorder,not-rated,43,19,2.2631578935457064,strongly agree
Ames Tribune,https://www.allsides.com/news-source/ames-tribune,not-rated,36,18,1.9999999988888888,agree
Anchorage Daily News,https://www.allsides.com/news-source/anchorage-daily-news,not-rated,21,12,1.7499999985416665,agree
Andrews Journal,https://www.allsides.com/news-source/andrews-journal,not-rated,6,11,0.5454545449586776,disagree
Ann Arbor Journal,https://www.allsides.com/news-source/ann-arbor-journal,not-rated,9,14,0.6428571423979591,disagree
Ann Arbor.com,https://www.allsides.com/news-source/ann-arborcom,not-rated,11,38,0.28947368413434904,absolutely disagree
Aquinas College Saint,https://www.allsides.com/news-source/aquinas-college-saint,left,846,553,1.5298372513285743,agree
Arab America News,https://www.allsides.com/news-source/arab-america-news,not-rated,33,20,1.6499999991749998,agree
Arab American News,https://www.allsides.com/news-source/arab-american-news,not-rated,22,18,1.22222222154321,somewhat agree
Arenac County Independent,https://www.allsides.com/news-source/arenac-county-independent,not-rated,39,16,2.437499998476562,strongly agree
Arenec County Independant,https://www.allsides.com/news-source/arenec-county-independant,not-rated,17,6,2.8333333286111113,strongly agree
Argus Observer,https://www.allsides.com/news-source/argus-observer,not-rated,59,34,1.7352941171366782,agree
Arizona Daily Sun,https://www.allsides.com/news-source/arizona-daily-sun,not-rated,97,81,1.1975308640496876,somewhat agree
Arkansas Democrat-Gazette,https://www.allsides.com/news-source/arkansas-democrat-gazette,left,893,696,1.2830459769930598,somewhat agree
Asheville Citizen-Times,https://www.allsides.com/news-source/asheville-citizen-times,not-rated,20,29,0.6896551721759809,somewhat disagree
Ashland Daily Press,https://www.allsides.com/news-source/ashland-daily-press,not-rated,69,75,0.9199999998773334,somewhat disagree
Aspen Daily News,https://www.allsides.com/news-source/aspen-daily-news,not-rated,16,28,0.5714285712244898,disagree
Aspen Times,https://www.allsides.com/news-source/aspen-times,not-rated,16,10,1.5999999984,agree
Associated Press,https://www.allsides.com/news-source/associated-press-media-bias,center,11034,7925,1.3923028391149623,somewhat agree
Associations Now,https://www.allsides.com/news-source/associations-now,not-rated,57,26,2.1923076914644968,strongly agree
Athens Banner-Herald,https://www.allsides.com/news-source/athens-banner-herald,not-rated,12,8,1.4999999981249998,somewhat agree
Athens Banner-Herald,https://www.allsides.com/news-source/athens-banner-herald-0,not-rated,11,9,1.2222222208641975,somewhat agree
