name,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as
Ballotpedia,https://www.allsides.com/news-source/ballotpedia,center,449,357,1.2577030811972632,somewhat agree
Brown University,https://www.allsides.com/news-source/brown-university,not-rated,40,58,0.689655172294887,somewhat disagree
Chicago Booth Initiative on Global Markets,https://www.allsides.com/news-source/chicago-booth,allsides,205,206,0.995145631019653,somewhat disagree
Countable,https://www.allsides.com/news-source/countable-media-bias,center,74,83,0.8915662649528234,somewhat disagree
CovidTracking.com,https://www.allsides.com/news-source/covidtrackingcom-media-bias,not-rated,1,0,100000000.0,absolutely agree
Face the Facts USA,https://www.allsides.com/news-source/face-facts-usa,center,243,363,0.6694214875848644,disagree
First Draft News,https://www.allsides.com/news-source/first-draft-media-bias,center,6,5,1.1999999976,somewhat agree
Gallup,https://www.allsides.com/news-source/gallup,center,427,384,1.1119791666377088,somewhat agree
InsideGov,https://www.allsides.com/news-source/insidegov,not-rated,79,38,2.0789473678739614,strongly agree
International Trade Administration,https://www.allsides.com/news-source/international-trade-administration,not-rated,57,102,0.5588235293569781,disagree
Metrocosm,https://www.allsides.com/news-source/metrocosm,not-rated,56,34,1.6470588230449827,agree
NASA,https://www.allsides.com/news-source/nasa,not-rated,61,79,0.7721518986364365,somewhat disagree
National Constitution Center,https://www.allsides.com/news-source/national-constitution-center-media-bias,center,42,50,0.839999999832,somewhat disagree
News Literacy Project,https://www.allsides.com/news-source/news-literacy-project-media-bias,center,2,4,0.49999999875,strongly disagree
notdemocracy,https://www.allsides.com/news-source/notdemocracy,not-rated,136,169,0.8047337277630334,somewhat disagree
Official Release,https://www.allsides.com/news-source/official-release,not-rated,26,98,0.26530612242190754,absolutely disagree
Pew Research Center,https://www.allsides.com/news-source/pew-research,center,1128,878,1.2847380409876454,somewhat agree
Quinnipiac University,https://www.allsides.com/news-source/quinnipiac-university,center,183,313,0.5846645367225347,disagree
RedBlueDictionary.org,https://www.allsides.com/news-source/redbluedictionaryorg,allsides,119,95,1.2526315788155125,somewhat agree
Science Blog,https://www.allsides.com/news-source/science-blog,not-rated,24,26,0.9230769227218935,somewhat disagree
Sunlight Foundation,https://www.allsides.com/news-source/sunlight-foundation,center,116,141,0.8226950354026457,somewhat disagree
SurveyCool.com,https://www.allsides.com/news-source/surveycoolcom-media-bias,not-rated,5,7,0.7142857132653061,somewhat disagree
Test Clear,https://www.allsides.com/news-source/test-clear-media-bias,not-rated,5,4,1.249999996875,somewhat agree
The Thread,https://www.allsides.com/news-source/thread-media-bias,allsides,4,8,0.49999999937499995,strongly disagree
United States Courts,https://www.allsides.com/news-source/united-states-courts,center,184,242,0.7603305784809781,somewhat disagree
University of Bath,https://www.allsides.com/news-source/university-bath-media-bias,not-rated,23,26,0.8846153842751479,somewhat disagree
Wikipedia,https://www.allsides.com/news-source/wikipedia,center,938,961,0.9760665972843281,somewhat disagree
World Health Organization,https://www.allsides.com/news-source/world-health-organization-media-bias,not-rated,1,0,100000000.0,absolutely agree
