name,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as
AARP,https://www.allsides.com/news-source/aarp-media-bias,center,1530,2691,0.5685618729075862,disagree
Accuracy in Media,https://www.allsides.com/news-source/accuracy-media,right,821,504,1.6289682539359331,agree
ACLU,https://www.allsides.com/news-source/american-civil-liberties-union,left-center,1450,2015,0.7196029776639226,somewhat disagree
American Conservative Union,https://www.allsides.com/news-source/american-conservative-union,right,714,389,1.8354755783589851,agree
American Enterprise Institute,https://www.allsides.com/news-source/american-enterprise-institute,right-center,1595,861,1.8524970963780198,agree
Americans for Democratic Action,https://www.allsides.com/news-source/americans-democratic-action,left,592,259,2.285714285626034,strongly agree
Americans for Tax Reform,https://www.allsides.com/news-source/americans-tax-reform,right,607,430,1.4116279069439157,somewhat agree
Annual Review of Political Science,https://www.allsides.com/news-source/annual-review-political-science,not-rated,68,47,1.4468085103304662,somewhat agree
Association for Psychological Science,https://www.allsides.com/news-source/association-psychological-science,center,694,587,1.1822827938469798,somewhat agree
Atlas Network,https://www.allsides.com/news-source/atlas-network,right,309,209,1.4784688994507909,somewhat agree
AtlasOne,https://www.allsides.com/news-source/atlasone,right-center,244,276,0.8840579709824616,somewhat disagree
AZO Cleantech,https://www.allsides.com/news-source/azo-cleantech,not-rated,54,86,0.6279069766711737,disagree
Better Government Association,https://www.allsides.com/news-source/better-government-association-media-bias,center,18,29,0.6206896549583829,disagree
Bipartisan Policy Center,https://www.allsides.com/news-source/bipartisan-policy-center-media-bias,not-rated,31,27,1.148148147722908,somewhat agree
Brookings Institution,https://www.allsides.com/news-source/brookings-institute,center,2328,1545,1.5067961164951018,agree
Carnegie Endowment for International Peace,https://www.allsides.com/news-source/carnegie-endowment-international-peace,center,418,343,1.2186588920927504,somewhat agree
Cato Institute (blog),https://www.allsides.com/news-source/cato-institute,right-center,958,1460,0.6561643835571496,disagree
Center For American Progress,https://www.allsides.com/news-source/center-american-progress,left-center,954,1387,0.6878154289784585,somewhat disagree
Center for Media & Democracy PR Watch,https://www.allsides.com/news-source/center-media-democracy-pr-watch,left-center,248,260,0.9538461538094675,somewhat disagree
Center for Strategic and Budgetary Assessments,https://www.allsides.com/news-source/cent-strategic-and-budgetary-assessments,right-center,369,445,0.8292134831274334,somewhat disagree
Center on Budget and Policy Priorities,https://www.allsides.com/news-source/center-budget-and-policy-priorities-0,left,727,651,1.116743471565027,somewhat agree
Children’s Defense Fund,https://www.allsides.com/news-source/childrens-defense-fund,left,238,252,0.9444444444069665,somewhat disagree
CivilPolitics.org,https://www.allsides.com/news-source/civilpoliticsorg,center,243,239,1.016736401631099,somewhat agree
Coffee Party USA,https://www.allsides.com/news-source/coffee-party-usa-media-bias,center,34,38,0.8947368418698061,somewhat disagree
Common Ground Committee,https://www.allsides.com/news-source/common-ground-committee-media-bias,center,1,0,100000000.0,absolutely agree
Council on Foreign Relations,https://www.allsides.com/news-source/council-foreign-relations-0,left,144,209,0.6889952152780385,somewhat disagree
DAG Blog,https://www.allsides.com/news-source/dag-blog,not-rated,72,80,0.8999999998875001,somewhat disagree
Economic Policy Institute,https://www.allsides.com/news-source/economic-policy-institute-0,left,173,190,0.9105263157415512,somewhat disagree
EdVotes.org,https://www.allsides.com/news-source/edvotesorg,left,112,58,1.9310344824256838,agree
Environmental Defense Fund,https://www.allsides.com/news-source/environmental-defense-fund,left-center,283,203,1.3940886698820645,somewhat agree
Family Research Council,https://www.allsides.com/news-source/family-research-council,right-center,310,526,0.5893536121560959,disagree
Federation of American Scientists,https://www.allsides.com/news-source/federation-american-scientists,left-center,223,263,0.8479087452149083,somewhat disagree
Food Democracy Now,https://www.allsides.com/news-source/food-democracy-now,left-center,134,137,0.9781021897096275,somewhat disagree
Freakonomics,https://www.allsides.com/news-source/freakonomics,center,351,223,1.573991031319552,agree
