name,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc
100% Fed up,https://mediabiasfactcheck.com/100-percent-fed-up/,Questionable Sources,Low,United States,"97,906"
10News.one,https://mediabiasfactcheck.com/10news-one/,Questionable Sources,Low,United States,"2,011"
24 News,https://mediabiasfactcheck.com/24-news/,Questionable Sources,Low,United States,527
247 News Media,https://mediabiasfactcheck.com/247-news-media/,Questionable Sources,Very Low,Macedonia,213
2nd Amendment Daily News,https://mediabiasfactcheck.com/2nd-amendment-daily-news/,Questionable Sources,Low,United States,0
3CCorp.net,https://mediabiasfactcheck.com/3ccorp-net/,Questionable Sources,Low,United States,0
A Voice for Men,https://mediabiasfactcheck.com/a-voice-for-men/,Questionable Sources,Low,United States,"52,202"
abcnews-us.com,https://mediabiasfactcheck.com/abcnews-us-com/,Questionable Sources,Very Low,Unknown or Invalid Region,18
Activist Mommy,https://mediabiasfactcheck.com/activist-mommy/,Questionable Sources,Low,United States,"4,845"
Age of Shitlords,https://mediabiasfactcheck.com/age-of-shitlords/,Questionable Sources,Low,United States,"19,714"
AjuaNews.com,https://mediabiasfactcheck.com/ajuanews-com/,Questionable Sources,Very Low,Unknown or Invalid Region,0
All News Pipeline,https://mediabiasfactcheck.com/all-news-pipeline/,Questionable Sources,Low,United States,"27,276"
Allen West Republic,https://mediabiasfactcheck.com/allen-west-republic/,Questionable Sources,Low,United States,"31,748"
Alliance Defending Freedom,https://mediabiasfactcheck.com/alliance-defending-freedom/,Questionable Sources,Low,United States,"645,093"
Alpha News,https://mediabiasfactcheck.com/alpha-news/,Questionable Sources,Low,United States,"15,259"
Amazingnews.net,https://mediabiasfactcheck.com/amazingnews-net/,Questionable Sources,Low,Unknown or Invalid Region,1
America Talks with David Zublick,https://mediabiasfactcheck.com/america-talks-with-david-zublick-bias-credibility-rating/,Questionable Sources,Very Low,United States,"7,513"
American Action News,https://mediabiasfactcheck.com/american-action-news/,Questionable Sources,Mixed,United States,0
American College of Pediatricians,https://mediabiasfactcheck.com/american-college-of-pediatricians/,Questionable Sources,Mixed,United States,"4,843"
American Family Association,https://mediabiasfactcheck.com/american-family-association/,Questionable Sources,Low,United States,"198,346"
American Flavor News,https://mediabiasfactcheck.com/american-flavor/,Questionable Sources,Very Low,Unknown or Invalid Region,243
Americas Freedom Fighters,https://mediabiasfactcheck.com/american-freedom-fighters/,Questionable Sources,Very Low,Unknown or Invalid Region,"3,704"
American Journal Review,https://mediabiasfactcheck.com/american-journal-review/,Questionable Sources,Low,United States,154
American Lookout,https://mediabiasfactcheck.com/american-lookout/,Questionable Sources,Low,United States,"21,235"
American Patriot Daily,https://mediabiasfactcheck.com/american-patriot-daily/,Questionable Sources,Mixed,,"20,789"
American People Network,https://mediabiasfactcheck.com/american-people-network/,Questionable Sources,Very Low,Macedonia,"1,657"
American Prides,https://mediabiasfactcheck.com/american-prides/,Questionable Sources,Low,India,7
American Principles Project,https://mediabiasfactcheck.com/american-principles-project/,Questionable Sources,Low,United States,"30,226"
American Renaissance Magazine,https://mediabiasfactcheck.com/american-renaissance-magazine/,Questionable Sources,Low,United States,"292,819"
"American Society for the Defense of Tradition, Family, and Property",https://mediabiasfactcheck.com/american-society-defense-tradition-family-property/,Questionable Sources,Low,United States,"76,104"
American Thinker,https://mediabiasfactcheck.com/american-thinker/,Questionable Sources,Low,United States,"2,786,512"
American Today,https://mediabiasfactcheck.com/american-today/,Questionable Sources,Low,United States,"8,111"
American Truth Seekers,https://mediabiasfactcheck.com/american-truth-seekers/,Questionable Sources,Low,Unknown or Invalid Region,7
American Truth Today,https://mediabiasfactcheck.com/american-truth-today/,Questionable Sources,Low,United States,0
American Updater,https://mediabiasfactcheck.com/american-updater/,Questionable Sources,Low,Macedonia,33
American Web Media (AWM),https://mediabiasfactcheck.com/american-web-media-awm/,Questionable Sources,Mixed,United States,"1,443"
Americans Against the Tea Party (AATTP),https://mediabiasfactcheck.com/americans-against-the-tea-party-aattp/,Questionable Sources,Low,United States,"100,728"
Americans Are Pissed,https://mediabiasfactcheck.com/americans-are-pissed/,Questionable Sources,Low,Unknown or Invalid Region,0
Americans for Truth,https://mediabiasfactcheck.com/americans-for-truth-aftah/,Questionable Sources,Very Low,United States,"96,617"
America's News Source,https://mediabiasfactcheck.com/americas-news-source/,Questionable Sources,Very Low,Unknown or Invalid Region,0
Analyzing America,https://mediabiasfactcheck.com/analyzing-america/,Questionable Sources,Mixed,United States,0
anews-24 (American News),https://mediabiasfactcheck.com/anews-24-com-american-news/,Questionable Sources,Very Low,Macedonia,46
Archaeology World,https://mediabiasfactcheck.com/archaeology-world/,Questionable Sources,Mixed,Unknown or Invalid Region,0
Backroom Buzz,https://mediabiasfactcheck.com/backroom-buzz/,Questionable Sources,Low,United States,"1,978"
Banned Information,https://mediabiasfactcheck.com/banned-information/,Questionable Sources,Mixed,United States,"3,033"
Bare Naked Islam,https://mediabiasfactcheck.com/bare-naked-islam/,Questionable Sources,Low,United States,"131,596"
BB4SP,https://mediabiasfactcheck.com/bb4sp/,Questionable Sources,Low,United States,"64,163"
BeAware,https://mediabiasfactcheck.com/beaware/,Questionable Sources,Low,Macedonia,281
Before It's News,https://mediabiasfactcheck.com/before-its-news/,Questionable Sources,Low,United States,"1,359,556"
Best Daily News,https://mediabiasfactcheck.com/best-daily-news/,Questionable Sources,Low,Macedonia,0
Big Blue Vision,https://mediabiasfactcheck.com/big-blue-vision/,Questionable Sources,Low,Unknown or Invalid Region,11
Big Government News,https://mediabiasfactcheck.com/big-government-news/,Conspiracy-Pseudoscience,Very Low,United States,720
Big League Politics,https://mediabiasfactcheck.com/big-league-politics/,Questionable Sources,Low,United States,"219,813"
BillionBibles.org,https://mediabiasfactcheck.com/billionbibles-bias-credibility-christian-propaganda-fake-news/,Questionable Sources,Very Low,United States,101
Bipartisan Report,https://mediabiasfactcheck.com/bipartisan-report/,Questionable Sources,Mixed,United States,"51,440"
Black Eye Politics,https://mediabiasfactcheck.com/black-eye-politics-bias-credibility-rating/,Questionable Sources,Low,,"3,852"
Black Genocide,https://mediabiasfactcheck.com/black-genocide/,Questionable Sources,Low,United States,"24,656"
Black Pigeon Speaks,https://mediabiasfactcheck.com/black-pigeon-speaks/,Questionable Sources,Low,United States,"18,310"
Blingnews.com,https://mediabiasfactcheck.com/blingnews-com/,Questionable Sources,Low,United States,"6,251"
Blue Dot Daily,https://mediabiasfactcheck.com/blue-dot-daily/,Questionable Sources,Mixed,United States,46
Blue Informer,https://mediabiasfactcheck.com/blue-informer/,Questionable Sources,Low,United States,1
Blue Vision Post,https://mediabiasfactcheck.com/blue-vision-post/,Questionable Sources,Low,United States,1
BlueVision.News,https://mediabiasfactcheck.com/bluevision-news/,Questionable Sources,Low,United States,33
Blunt Force Truth,https://mediabiasfactcheck.com/blunt-force-truth/,Questionable Sources,Low,United States,"49,953"
Bongino.com,https://mediabiasfactcheck.com/bongino-com/,Questionable Sources,Mixed,United States,"154,293"
Borderland Alternative Media (BAM),https://mediabiasfactcheck.com/borderland-alternative-media-bam/,Questionable Sources,Low,United States,157
Breaking News House,https://mediabiasfactcheck.com/breaking-news-house/,Questionable Sources,Low,Unknown or Invalid Region,0
Breaking911,https://mediabiasfactcheck.com/breaking911/,Questionable Sources,Very Low,Unknown or Invalid Region,"75,217"
Breitbart,https://mediabiasfactcheck.com/breitbart/,Questionable Sources,Mixed,United States,"3,846,103"
Caldron Pool,https://mediabiasfactcheck.com/caldron-pool/,Questionable Sources,Mixed,Australia,0
Canada Free Press,https://mediabiasfactcheck.com/canada-free-press/,Questionable Sources,Low,Canada,"267,929"
Cap News,https://mediabiasfactcheck.com/cap-news/,Questionable Sources,Very Low,Unknown or Invalid Region,56
Cbsnews.com.co,https://mediabiasfactcheck.com/cbsnews-com-co/,Questionable Sources,Very Low,Unknown or Invalid Region,107
Censored.news,https://mediabiasfactcheck.com/censored-news/,Questionable Sources,Low,United States,0
Center for Security Policy,https://mediabiasfactcheck.com/center-for-security-policy/,Questionable Sources,Mixed,United States,"266,184"
Center for Research of Radicalism and National Security,https://mediabiasfactcheck.com/centre-for-research-of-radicalism-and-national-security-crrns/,Questionable Sources,Low,,970
Cerno (Cernovich.com),https://mediabiasfactcheck.com/cerno-cernovich-com/,Questionable Sources,Mixed,United States,"3,010"
Checkpoint Asia,https://mediabiasfactcheck.com/checkpoint-asia-bias-credibility-propaganda-rating/,Questionable Sources,Low,Unknown or Invalid Region,"11,128"
China Daily,https://mediabiasfactcheck.com/china-daily/,Questionable Sources,Mixed,China,"32,932,238"
Christian Action Network,https://mediabiasfactcheck.com/christian-action-network/,Questionable Sources,Low,United States,"52,893"
Church Militant,https://mediabiasfactcheck.com/church-militant/,Questionable Sources,Mixed,United States,"124,076"
CityWorldNews,https://mediabiasfactcheck.com/cityworldnews/,Questionable Sources,Very Low,Unknown or Invalid Region,184
Clarion Project,https://mediabiasfactcheck.com/clarion-project/,Questionable Sources,Low,United States,"164,426"
Clash Daily,https://mediabiasfactcheck.com/clash-daily/,Questionable Sources,Low,United States,"269,384"
Clover Chronicle,https://mediabiasfactcheck.com/clover-chronicle-bias-credibility-fake-news/,Questionable Sources,Low,Unknown or Invalid Region,"3,303"
Cnn.com.de,https://mediabiasfactcheck.com/cnn-com-de/,Questionable Sources,Very Low,Unknown or Invalid Region,"1,626"
cnn-globalnews.com,https://mediabiasfactcheck.com/cnn-globalnews-com/,Questionable Sources,Very Low,,598
CNS News,https://mediabiasfactcheck.com/cns-news/,Questionable Sources,Low,United States,"1,029,917"
Competitive Enterprise Institute,https://mediabiasfactcheck.com/competitive-enterprise-institute/,Questionable Sources,Low,United States,"365,049"
Concerned Women for America,https://mediabiasfactcheck.com/concerned-women-america/,Questionable Sources,Low,United States,"160,558"
Conservapedia,https://mediabiasfactcheck.com/conservapedia/,Questionable Sources,Mixed,United States,"24,826"
Conservative 101,https://mediabiasfactcheck.com/conservative-101/,Questionable Sources,Low,Unknown or Invalid Region,738
Conservative Ammo,https://mediabiasfactcheck.com/conservative-ammo/,Questionable Sources,Low,United States,0
Conservative Army,https://mediabiasfactcheck.com/conservative-army/,Questionable Sources,Low,Unknown or Invalid Region,"1,840"
Conservative Byte,https://mediabiasfactcheck.com/conservative-byte/,Questionable Sources,Low,United States,"93,745"
Conservative Daily Post,https://mediabiasfactcheck.com/conservative-daily-post/,Questionable Sources,Low,Unknown or Invalid Region,"59,158"
Conservative Fighters,https://mediabiasfactcheck.com/conservative-fighters/,Questionable Sources,Low,United States,"28,165"
Conservative Firing Line,https://mediabiasfactcheck.com/conservative-firing-line/,Questionable Sources,Mixed,United States,"92,912"
Conservative Flash News,https://mediabiasfactcheck.com/conservative-flash-news/,Questionable Sources,Low,Unknown or Invalid Region,52
Conservative Free Press,https://mediabiasfactcheck.com/conservative-free-press/,Questionable Sources,Low,United States,"2,513"
Conservative Info Corner,https://mediabiasfactcheck.com/conservative-info-corner/,Questionable Sources,Low,Unknown or Invalid Region,33
Conservative Media,https://mediabiasfactcheck.com/conservative-media/,Questionable Sources,Low,United States,"22,702"
Conservative Movement,https://mediabiasfactcheck.com/conservative-movement/,Questionable Sources,Low,Unknown or Invalid Region,7
Conservative Nation,https://mediabiasfactcheck.com/conservative-nation/,Questionable Sources,Low,United States,"7,298"
Conservative Patriot,https://mediabiasfactcheck.com/conservative-patriot/,Questionable Sources,Low,Unknown or Invalid Region,337
Conservative Politics Today,https://mediabiasfactcheck.com/conservative-politics-today/,Questionable Sources,Low,United States,4
Conservative Politicus,https://mediabiasfactcheck.com/conservative-politicus/,Questionable Sources,Low,Unknown or Invalid Region,5
Conservative Post,https://mediabiasfactcheck.com/conservative-post/,Questionable Sources,Low,United States,"18,226"
Conservative Spirit,https://mediabiasfactcheck.com/conservative-spirit/,Questionable Sources,Low,Unknown or Invalid Region,42
Conservative Tribune,https://mediabiasfactcheck.com/conservative-tribune/,Questionable Sources,Very Low,United States,"377,084"
Conspiracy Inquirer,https://mediabiasfactcheck.com/conspiracy-inquirer/,Questionable Sources,Very Low,United States,4
Constitution Rising,https://mediabiasfactcheck.com/constitution-rising/,Questionable Sources,Mixed,United States,"32,510"
Council for American-Islamic Relations (CAIR),https://mediabiasfactcheck.com/council-on-american-islamic-relations-cair/,Questionable Sources,Mixed,United States,"105,614"
Daily Buzz Live,https://mediabiasfactcheck.com/daily-buzz-live/,Questionable Sources,Very Low,United States,"6,060"
Daily Headlines,https://mediabiasfactcheck.com/daily-headlines/,Questionable Sources,Low,Unknown or Invalid Region,"38,428"
Daily InfoBox,https://mediabiasfactcheck.com/daily-infobox/,Questionable Sources,Very Low,Unknown or Invalid Region,4
Daily Insider News,https://mediabiasfactcheck.com/daily-insider-news/,Questionable Sources,Low,United States,107
Daily Mail,https://mediabiasfactcheck.com/daily-mail/,Questionable Sources,Low,United Kingdom,"6,293,579"
Daily Notify,https://mediabiasfactcheck.com/daily-notify/,Questionable Sources,Low,Canada,65
Daily Political Newswire,https://mediabiasfactcheck.com/daily-political-newswire/,Questionable Sources,Mixed,Unknown or Invalid Region,"2,362"
Daily Presser,https://mediabiasfactcheck.com/daily-presser/,Questionable Sources,Low,United States,"1,676"
Daily Star UK,https://mediabiasfactcheck.com/daily-star-uk/,Questionable Sources,Mixed,United Kingdom,"642,527"
Daily Stormer,https://mediabiasfactcheck.com/daily-stormer/,Questionable Sources,Very Low,United States,"207,386"
Daily USA Update,https://mediabiasfactcheck.com/daily-usa-update/,Questionable Sources,Low,United States,13
Daily World Information,https://mediabiasfactcheck.com/daily-world-information/,Questionable Sources,Very Low,Unknown or Invalid Region,2
Dam-Reports,https://mediabiasfactcheck.com/dam-reports/,Questionable Sources,Very Low,Unknown or Invalid Region,5
David Icke,https://mediabiasfactcheck.com/david-icke/,Conspiracy-Pseudoscience,Very Low,United Kingdom,"1,239,324"
DC Blue Dot,https://mediabiasfactcheck.com/dc-blue-dot/,Questionable Sources,Mixed,United States,"3,965"
DC Dirty Laundry,https://mediabiasfactcheck.com/dc-dirty-laundry/,Questionable Sources,Very Low,United States,"202,161"
DC Gazette,https://mediabiasfactcheck.com/dc-gazette/,Questionable Sources,Low,United States,35
DEBKAfile,https://mediabiasfactcheck.com/debkafile/,Questionable Sources,Mixed,Israel,"729,987"
Deep Left Field,https://mediabiasfactcheck.com/deep-left-field/,Questionable Sources,Mixed,United States,397
Defend Europa,https://mediabiasfactcheck.com/defend-europa/,Questionable Sources,Low,Netherlands,"2,073"
Defiant America,https://mediabiasfactcheck.com/defiant-america/,Questionable Sources,Low,United States,"50,833"
Defund.com,https://mediabiasfactcheck.com/defund-com/,Questionable Sources,Low,Unknown or Invalid Region,"4,368"
Democratic Moms,https://mediabiasfactcheck.com/democratic-moms/,Questionable Sources,Low,Unknown or Invalid Region,"3,883"
Denver Guardian,https://mediabiasfactcheck.com/denver-guardian/,Questionable Sources,Very Low,United States,182
Departed (Maganews.com),https://mediabiasfactcheck.com/departed-maganews-com/,Questionable Sources,Very Low,United States,16
Deplorable Kel,https://mediabiasfactcheck.com/deplorable-kel/,Questionable Sources,Low,United States,149
Deplorable Movement 2020,https://mediabiasfactcheck.com/deplorable-movement-2020/,Questionable Sources,Low,United States,6
Discover the Networks,https://mediabiasfactcheck.com/discover-the-networks/,Questionable Sources,Low,United States,"418,779"
Donald Trump News,https://mediabiasfactcheck.com/donald-trump-news/,Questionable Sources,Very Low,United States,643
Downtrend,https://mediabiasfactcheck.com/downtrend/,Questionable Sources,Low,United States,"34,791"
Draining the Swamp,https://mediabiasfactcheck.com/draining-the-swamp/,Questionable Sources,Low,United States,2
Drudge Report,https://mediabiasfactcheck.com/drudge-report/,Questionable Sources,Low,United States,"5,523,022"
Eagle Rising,https://mediabiasfactcheck.com/eagle-rising/,Questionable Sources,Low,United States,"43,752"
EarthNews-Conservative News,https://mediabiasfactcheck.com/earthnews-conservative-news/,Questionable Sources,Mixed,Unknown or Invalid Region,4
Ecology News,https://mediabiasfactcheck.com/ecology-news/,Conspiracy-Pseudoscience,Very Low,United States,0
Educate Yourself,https://mediabiasfactcheck.com/educate-yourself/,Conspiracy-Pseudoscience,Very Low,United States,"65,988"
Embols,https://mediabiasfactcheck.com/embols/,Questionable Sources,Low,United States,45
Empire Herald,https://mediabiasfactcheck.com/empire-herald/,Questionable Sources,Low,United States,"8,389"
En-volve,https://mediabiasfactcheck.com/en-volve/,Questionable Sources,Very Low,,"67,927"
End the Fed,https://mediabiasfactcheck.com/end-the-fed/,Questionable Sources,Low,United States,855
Ending the Fed,https://mediabiasfactcheck.com/ending-the-fed-news/,Questionable Sources,Low,United States,"3,328"
ENH Live,https://mediabiasfactcheck.com/enh-live/,Questionable Sources,Low,Unknown or Invalid Region,"2,898"
Everyday for Gun Safety,https://mediabiasfactcheck.com/everytown-for-gun-safety/,Questionable Sources,Mixed,United States,"68,878"
Evil.News,https://mediabiasfactcheck.com/evil-news/,Questionable Sources,Low,United States,0
Experience Awareness (AbcBusinessNews.com),https://mediabiasfactcheck.com/experience-awareness-abcbusinessnews-com/,Questionable Sources,Mixed,United States,25
Explain Life,https://mediabiasfactcheck.com/explain-life/,Questionable Sources,Very Low,Unknown or Invalid Region,"2,630"
Exposing Government,https://mediabiasfactcheck.com/exposing-government/,Questionable Sources,Low,,173
Fact Checking Turkey,https://mediabiasfactcheck.com/fact-checking-turkey/,Questionable Sources,Mixed,Turkey,"18,684"
Facts Wanted,https://mediabiasfactcheck.com/facts-wanted/,Questionable Sources,Mixed,Belize,"8,636"
Family Research Council,https://mediabiasfactcheck.com/family-research-council/,Questionable Sources,Low,United States,"268,084"
Fash the Nation,https://mediabiasfactcheck.com/fash-the-nation/,Questionable Sources,Very Low,United States,0
Federalist Nation,https://mediabiasfactcheck.com/federalist-nation/,Questionable Sources,Low,Unknown or Invalid Region,"2,568"
Flash News Corner,https://mediabiasfactcheck.com/flash-news-corner/,Questionable Sources,Very Low,Unknown or Invalid Region,17
Flex Mag,https://mediabiasfactcheck.com/flex-mag/,Questionable Sources,Low,,551
Florida Sun-Post,https://mediabiasfactcheck.com/florida-sun-post/,Questionable Sources,Very Low,United States,16
Focus on the Family,https://mediabiasfactcheck.com/focus-on-the-family/,Questionable Sources,Low,United States,"429,975"
For the Right News,https://mediabiasfactcheck.com/for-the-right-news/,Questionable Sources,Low,United States,0
France24-tv.com,https://mediabiasfactcheck.com/france24-tv-com/,Questionable Sources,Very Low,France,102
Freakout Nation,https://mediabiasfactcheck.com/freakout-nation/,Questionable Sources,Low,Unknown or Invalid Region,"33,297"
Free Patriot Post,https://mediabiasfactcheck.com/free-patriot-post/,Questionable Sources,Low,Unknown or Invalid Region,262
PoliticsOnline.net,https://mediabiasfactcheck.com/free-speech-time/,Questionable Sources,Low,Unknown or Invalid Region,37
Freedom Daily,https://mediabiasfactcheck.com/freedom-daily/,Questionable Sources,Low,Unknown or Invalid Region,"2,368"
Freedom News Report,https://mediabiasfactcheck.com/freedom-news-report/,Questionable Sources,Mixed,United States,713
Freedom's Final Stand,https://mediabiasfactcheck.com/freedoms-final-stand/,Questionable Sources,Low,Unknown or Invalid Region,133
Fresh News USA,https://mediabiasfactcheck.com/fresh-news-usa/,Questionable Sources,Low,United States,39
FrontPage Magazine,https://mediabiasfactcheck.com/frontpage-magazine/,Questionable Sources,Low,United States,"1,802,704"
Fury News,https://mediabiasfactcheck.com/fury-news/,Questionable Sources,Very Low,Unknown or Invalid Region,"2,562"
FWD Now,https://mediabiasfactcheck.com/fwd-now/,Questionable Sources,Mixed,United States,207
Gatestone Institute,https://mediabiasfactcheck.com/gatestone-institute/,Questionable Sources,Mixed,United States,"474,478"
Geller Report,https://mediabiasfactcheck.com/geller-report/,Questionable Sources,Low,United States,"355,909"
Geology In,https://mediabiasfactcheck.com/geology-in/,Questionable Sources,Mixed,United States,"5,315"
Girls Just Wanna Have guns,https://mediabiasfactcheck.com/girls-just-wanna-have-guns/,Questionable Sources,Low,United States,"119,306"
Global Info Today,https://mediabiasfactcheck.com/global-info-today/,Questionable Sources,Low,,171
Global Politics Now,https://mediabiasfactcheck.com/global-politics-now/,Questionable Sources,Low,Unknown or Invalid Region,171
Global Times,https://mediabiasfactcheck.com/global-times-china/,Questionable Sources,Mixed,China,"4,052,455"
Globe Magazine,https://mediabiasfactcheck.com/globe-magazine/,Questionable Sources,Very Low,Canada,"7,377"
Gnews,https://mediabiasfactcheck.com/gnews/,Questionable Sources,Low,United States,0
GOD Good Lord Above,https://mediabiasfactcheck.com/god-good-lord-above/,Questionable Sources,Mixed,United States,"1,097"
Godfather Politics,https://mediabiasfactcheck.com/godfather-politics/,Questionable Sources,Mixed,United States,"147,171"
Gone Left,https://mediabiasfactcheck.com/gone-left/,Questionable Sources,Low,Unknown or Invalid Region,6
GoodGopher,https://mediabiasfactcheck.com/goodgopher/,Questionable Sources,Very Low,United States,"415,339"
GOP.gov,https://mediabiasfactcheck.com/gop-gov-house-republicans/,Questionable Sources,Mixed,United States,"86,749"
GOP Watchdog,https://mediabiasfactcheck.com/gop-watchdog/,Questionable Sources,Low,United States,217
GotNews,https://mediabiasfactcheck.com/gotnews/,Questionable Sources,Low,United States,"90,366"
Grain of Truth,https://mediabiasfactcheck.com/grain-of-truth/,Questionable Sources,Very Low,Canada,0
Great American Daily,https://mediabiasfactcheck.com/great-american-daily/,Questionable Sources,Low,United States,0
Great American Republic,https://mediabiasfactcheck.com/great-american-republic-bias-credibility-fake-news/,Questionable Sources,Low,United States,"63,777"
Grunge.com,https://mediabiasfactcheck.com/grunge/,Questionable Sources,Mixed,United States,
Hang The Bankers,https://mediabiasfactcheck.com/hang-the-bankers/,Questionable Sources,Low,United States,"174,565"
Hard News,https://mediabiasfactcheck.com/hard-news/,Questionable Sources,Mixed,United States,"1,181"
Hawar News Agancy,https://mediabiasfactcheck.com/hawar-news-agency/,Questionable Sources,Low,Syria,"4,643"
Head Topics,https://mediabiasfactcheck.com/head-topics/,Questionable Sources,Mixed,Unknown or Invalid Region,0
Healing Oracle,https://mediabiasfactcheck.com/healing-oracle/,Conspiracy-Pseudoscience,Very Low,Unknown or Invalid Region,"7,126"
Health Nut News,https://mediabiasfactcheck.com/health-nut-news/,Conspiracy-Pseudoscience,Very Low,United States,"17,513"
Heartland Institute,https://mediabiasfactcheck.com/heartland-institute/,Questionable Sources,Low,United States,"183,731"
Hogg Watch,https://mediabiasfactcheck.com/hogg-watch/,Questionable Sources,Low,United States,95
I Hate the Media,https://mediabiasfactcheck.com/i-hate-the-media/,Questionable Sources,Low,United States,"202,929"
"I, Hypocrite",https://mediabiasfactcheck.com/i-hypocrite/,Questionable Sources,Mixed,United States,751
I love my Freedom,https://mediabiasfactcheck.com/i-love-my-freedom/,Questionable Sources,Very Low,United States,"14,243"
Identity Evropa,https://mediabiasfactcheck.com/identity-evropa/,Questionable Sources,Very Low,United States,"8,457"
If You Only News,https://mediabiasfactcheck.com/if-you-only-news/,Questionable Sources,Very Low,United States,"130,778"
Illegal Alien Crime Report,https://mediabiasfactcheck.com/illegal-alien-crime-report/,Questionable Sources,Mixed,United States,"35,178"
Illicit Info,https://mediabiasfactcheck.com/illicit-info/,Questionable Sources,Low,United States,"41,948"
IMOwired,https://mediabiasfactcheck.com/imowired/,Questionable Sources,Very Low,United States,"1,824"
InfoGalactic,https://mediabiasfactcheck.com/infogalactic/,Questionable Sources,Low,United States,"22,585"
Information Liberation,https://mediabiasfactcheck.com/information-liberation/,Questionable Sources,Low,United States,"671,366"
Informed Owners,https://mediabiasfactcheck.com/informed-owners/,Questionable Sources,Very Low,Unknown or Invalid Region,168
InfoScum,https://mediabiasfactcheck.com/infoscum/,Questionable Sources,Mixed,Canada,"48,742"
Infowars,https://mediabiasfactcheck.com/infowars-alex-jones/,Conspiracy-Pseudoscience,Very Low,United States,"5,200,579"
Institute for Historical Review (IHR),https://mediabiasfactcheck.com/institute-for-historical-review/,Questionable Sources,Very Low,United States,"50,347"
International Organization for the Family (IOF),https://mediabiasfactcheck.com/international-organization-for-the-family-iof/,Questionable Sources,Low,United States,"24,105"
Israel Video Network,https://mediabiasfactcheck.com/israel-video-network/,Questionable Sources,Mixed,Israel,"17,108"
Itag Live,https://mediabiasfactcheck.com/itag-live/,Questionable Sources,Very Low,United States,42
Jew Watch,https://mediabiasfactcheck.com/jew-watch/,Questionable Sources,Low,United States,"36,011"
Joe for America,https://mediabiasfactcheck.com/joe-for-america/,Questionable Sources,Low,United States,"154,832"
Jones Report,https://mediabiasfactcheck.com/jones-report/,Conspiracy-Pseudoscience,Very Low,United States,"13,467"
Jookos News,https://mediabiasfactcheck.com/jookos-news/,Questionable Sources,Low,Unknown or Invalid Region,"1,214"
Judicial Watch,https://mediabiasfactcheck.com/judicial-watch/,Questionable Sources,Low,United States,"466,469"
Just the Facts,https://mediabiasfactcheck.com/just-the-facts/,Questionable Sources,Mixed,United States,"2,924"
Knights Templar International,https://mediabiasfactcheck.com/knights-templar-international/,Questionable Sources,Low,United States,"7,399"
Lady Liberty News,https://mediabiasfactcheck.com/lady-liberty-news/,Questionable Sources,Low,,929
LearnTheRisk.org,https://mediabiasfactcheck.com/learntherisk-org/,Conspiracy-Pseudoscience,Very Low,United States,"4,653"
Left Action,https://mediabiasfactcheck.com/left-action/,Questionable Sources,Low,United States,"6,133"
Left Exposed,https://mediabiasfactcheck.com/left-exposed/,Questionable Sources,Low,United States,"64,292"
Lew Rockwell,https://mediabiasfactcheck.com/lew-rockwell/,Questionable Sources,Mixed,United States,"2,405,217"
Liberal Speak,https://mediabiasfactcheck.com/liberal-speak/,Questionable Sources,Mixed,United States,"2,274"
Liberty Alliance,https://mediabiasfactcheck.com/liberty-alliance/,Questionable Sources,Mixed,United States,"3,904"
Liberty Brief,https://mediabiasfactcheck.com/liberty-brief/,Questionable Sources,Low,United States,19
Liberty Courier,https://mediabiasfactcheck.com/liberty-courier/,Questionable Sources,Low,United States,4
Liberty is Viral,https://mediabiasfactcheck.com/liberty-is-viral/,Questionable Sources,Low,United States,"18,134"
London Web News,https://mediabiasfactcheck.com/london-web-news/,Questionable Sources,Low,United Kingdom,430
LoonWatch,https://mediabiasfactcheck.com/loonwatch/,Questionable Sources,Low,United States,"159,626"
Loser.com,https://mediabiasfactcheck.com/loser-com/,Questionable Sources,Mixed,United States,"2,243"
Lucianne.com,https://mediabiasfactcheck.com/lucianne-com/,Questionable Sources,Mixed,United States,"1,502,568"
Mad American Network,https://mediabiasfactcheck.com/mad-american-network/,Questionable Sources,Low,,34
Mad World News,https://mediabiasfactcheck.com/mad-world-news/,Questionable Sources,Low,United States,"48,121"
