news_source,bias,reporting,country,references
100% Fed up,Questionable Sources,Low,United States,"97,906"
10News.one,Questionable Sources,Low,United States,"2,011"
24 News,Questionable Sources,Low,United States,527
247 News Media,Questionable Sources,Very Low,Macedonia,213
2nd Amendment Daily News,Questionable Sources,Low,United States,0
3CCorp.net,Questionable Sources,Low,United States,0
A Voice for Men,Questionable Sources,Low,United States,"52,202"
abcnews-us.com,Questionable Sources,Very Low,Unknown or Invalid Region,18
Activist Mommy,Questionable Sources,Low,United States,"4,845"
Age of Shitlords,Questionable Sources,Low,United States,"19,714"
AjuaNews.com,Questionable Sources,Very Low,Unknown or Invalid Region,0
All News Pipeline,Questionable Sources,Low,United States,"27,276"
Allen West Republic,Questionable Sources,Low,United States,"31,748"
Alliance Defending Freedom,Questionable Sources,Low,United States,"645,093"
Alpha News,Questionable Sources,Low,United States,"15,259"
Amazingnews.net,Questionable Sources,Low,Unknown or Invalid Region,1
America Talks with David Zublick,Questionable Sources,Very Low,United States,"7,513"
American Action News,Questionable Sources,Mixed,United States,0
American College of Pediatricians,Questionable Sources,Mixed,United States,"4,843"
American Family Association,Questionable Sources,Low,United States,"198,346"
American Flavor News,Questionable Sources,Very Low,Unknown or Invalid Region,243
Americas Freedom Fighters,Questionable Sources,Very Low,Unknown or Invalid Region,"3,704"
American Journal Review,Questionable Sources,Low,United States,154
American Lookout,Questionable Sources,Low,United States,"21,235"
American Patriot Daily,Questionable Sources,Mixed,,"20,789"
American People Network,Questionable Sources,Very Low,Macedonia,"1,657"
American Prides,Questionable Sources,Low,India,7
American Principles Project,Questionable Sources,Low,United States,"30,226"
American Renaissance Magazine,Questionable Sources,Low,United States,"292,819"
"American Society for the Defense of Tradition, Family, and Property",Questionable Sources,Low,United States,"76,104"
American Thinker,Questionable Sources,Low,United States,"2,786,512"
American Today,Questionable Sources,Low,United States,"8,111"
American Truth Seekers,Questionable Sources,Low,Unknown or Invalid Region,7
American Truth Today,Questionable Sources,Low,United States,0
American Updater,Questionable Sources,Low,Macedonia,33
American Web Media (AWM),Questionable Sources,Mixed,United States,"1,443"
Americans Against the Tea Party (AATTP),Questionable Sources,Low,United States,"100,728"
Americans Are Pissed,Questionable Sources,Low,Unknown or Invalid Region,0
Americans for Truth,Questionable Sources,Very Low,United States,"96,617"
America's News Source,Questionable Sources,Very Low,Unknown or Invalid Region,0
Analyzing America,Questionable Sources,Mixed,United States,0
anews-24 (American News),Questionable Sources,Very Low,Macedonia,46
Archaeology World,Questionable Sources,Mixed,Unknown or Invalid Region,0
Backroom Buzz,Questionable Sources,Low,United States,"1,978"
Banned Information,Questionable Sources,Mixed,United States,"3,033"
